month,download_in_millions
2018-12,30.84
2019-01,19.55
2019-02,12.90
2019-03,9.92
2019-04,7.37
2019-05,7.92
2019-06,6.59
2019-07,6.48
2019-08,6.90
2019-09,7.26
2019-10,7.16
2019-11,6.05
2019-12,7.89
2020-01,9.45
2020-02,8.54
2020-03,8.90
2020-04,6.62
2020-05,8.09
2020-06,7.57
2020-07,9.29
2020-08,8.30
2020-09,7.93
2020-10,6.60
2020-11,5.89
2020-12,7.01
2021-01,6.81
2021-02,6.34
2021-03,6.43
2021-04,5.92
2021-05,5.67
2021-06,5.98
2021-07,5.22
2021-08,4.96
2021-09,4.81
2021-10,4.87
2021-11,4.88
2021-12,5.45
2022-01,5.24
2022-02,4.07
2022-03,3.89
2022-04,3.27
2022-05,3.15
2022-06,2.90
2022-07,3.27
2022-08,2.79
2022-09,2.73
2022-10,2.84
2022-11,2.62
2022-12,4.66
2023-01,3.52
2023-02,2.48
2023-03,2.64
2023-04,2.57
2023-05,2.49
2023-06,2.21
2023-07,2.80
2023-08,2.51
2023-09,2.81
2023-10,2.92
2023-11,3.08
2023-12,4.69
2024-01,5.34
2024-02,7.13
2024-03,12.36
2024-04,9.98
2024-05,10.52
2024-06,8.42
2024-07,7.39
2024-08,6.72
2024-09,7.74
2024-10,5.84
2024-11,5.62
2024-12,6.33
2025-01,5.57
2025-02,4.82
2025-03,4.53
2025-04,3.90
2025-05,4.13
2025-06,3.90
