Brawler_1,Brawler_2,Weight
8-BIT,8-BIT,2
8-BIT,ALLI,12
8-BIT,AMBER,2
8-BIT,ANGELO,5
8-BIT,ASH,3
8-BIT,BARLEY,12
8-BIT,BEA,9
8-BIT,BELLE,8
8-BIT,BERRY,12
8-BIT,BO,11
8-BIT,BONNIE,10
8-BIT,BROCK,14
8-BIT,BULL,6
8-BIT,BUSTER,2
8-BIT,BUZZ,6
8-BIT,BYRON,20
8-BIT,CARL,5
8-BIT,CHARLIE,2
8-BIT,CHESTER,7
8-BIT,CHUCK,3
8-BIT,CLANCY,2
8-BIT,COLETTE,32
8-BIT,COLT,33
8-BIT,CORDELIUS,5
8-BIT,CROW,10
8-BIT,DARRYL,7
8-BIT,DOUG,2
8-BIT,DRACO,1
8-BIT,DYNAMIKE,17
8-BIT,EDGAR,52
8-BIT,EL PRIMO,16
8-BIT,EMZ,20
8-BIT,EVE,4
8-BIT,FANG,16
8-BIT,FINX,1
8-BIT,FRANK,8
8-BIT,GALE,4
8-BIT,GENE,4
8-BIT,GRAY,6
8-BIT,GRIFF,10
8-BIT,GROM,6
8-BIT,GUS,9
8-BIT,HANK,4
8-BIT,JACKY,2
8-BIT,JAE-YONG,4
8-BIT,JANET,2
8-BIT,JESSIE,12
8-BIT,JUJU,8
8-BIT,KAZE,9
8-BIT,KENJI,4
8-BIT,KIT,10
8-BIT,LARRY & LAWRIE,2
8-BIT,LEON,17
8-BIT,LILY,6
8-BIT,LOLA,7
8-BIT,LOU,4
8-BIT,LUMI,4
8-BIT,MAISIE,7
8-BIT,MANDY,30
8-BIT,MAX,5
8-BIT,MEEPLE,3
8-BIT,MEG,7
8-BIT,MELODIE,7
8-BIT,MICO,6
8-BIT,MOE,2
8-BIT,MORTIS,14
8-BIT,MR. P,3
8-BIT,NANI,7
8-BIT,NITA,7
8-BIT,OLLIE,2
8-BIT,OTIS,1
8-BIT,PAM,5
8-BIT,PEARL,5
8-BIT,PENNY,6
8-BIT,PIPER,25
8-BIT,POCO,5
8-BIT,R-T,2
8-BIT,RICO,14
8-BIT,ROSA,1
8-BIT,RUFFS,4
8-BIT,SAM,1
8-BIT,SANDY,7
8-BIT,SHADE,7
8-BIT,SHELLY,7
8-BIT,SPIKE,14
8-BIT,SPROUT,2
8-BIT,SQUEAK,11
8-BIT,STU,1
8-BIT,SURGE,8
8-BIT,TARA,5
8-BIT,TICK,22
8-BIT,WILLOW,3
ALLI,AMBER,2
ALLI,ANGELO,4
ALLI,ASH,6
ALLI,BARLEY,9
ALLI,BEA,9
ALLI,BELLE,9
ALLI,BERRY,11
ALLI,BIBI,6
ALLI,BO,10
ALLI,BONNIE,1
ALLI,BROCK,14
ALLI,BULL,3
ALLI,BUSTER,2
ALLI,BUZZ,8
ALLI,BYRON,11
ALLI,CARL,3
ALLI,CHARLIE,4
ALLI,CHESTER,6
ALLI,CHUCK,1
ALLI,COLETTE,24
ALLI,COLT,18
ALLI,CORDELIUS,5
ALLI,CROW,14
ALLI,DARRYL,8
ALLI,DOUG,4
ALLI,DRACO,4
ALLI,DYNAMIKE,27
ALLI,EDGAR,46
ALLI,EL PRIMO,9
ALLI,EMZ,14
ALLI,EVE,4
ALLI,FANG,18
ALLI,FINX,5
ALLI,FRANK,4
ALLI,GALE,4
ALLI,GENE,3
ALLI,GRAY,10
ALLI,GRIFF,7
ALLI,GROM,7
ALLI,GUS,5
ALLI,HANK,4
ALLI,JACKY,1
ALLI,JAE-YONG,10
ALLI,JANET,5
ALLI,JESSIE,9
ALLI,JUJU,7
ALLI,KAZE,14
ALLI,KENJI,1
ALLI,KIT,9
ALLI,LARRY & LAWRIE,4
ALLI,LEON,15
ALLI,LILY,8
ALLI,LUMI,5
ALLI,MAISIE,10
ALLI,MANDY,26
ALLI,MAX,10
ALLI,MEEPLE,5
ALLI,MEG,6
ALLI,MELODIE,1
ALLI,MICO,5
ALLI,MOE,3
ALLI,MORTIS,33
ALLI,MR. P,5
ALLI,NANI,5
ALLI,NITA,9
ALLI,OLLIE,7
ALLI,OTIS,6
ALLI,PAM,2
ALLI,PEARL,3
ALLI,PENNY,6
ALLI,PIPER,20
ALLI,POCO,8
ALLI,RICO,11
ALLI,SAM,2
ALLI,SANDY,4
ALLI,SHADE,10
ALLI,SHELLY,9
ALLI,SPIKE,16
ALLI,SPROUT,5
ALLI,SQUEAK,13
ALLI,STU,7
ALLI,SURGE,8
ALLI,TARA,5
ALLI,TICK,23
ALLI,WILLOW,3
AMBER,ANGELO,3
AMBER,ASH,1
AMBER,BARLEY,8
AMBER,BEA,15
AMBER,BELLE,8
AMBER,BERRY,12
AMBER,BIBI,9
AMBER,BO,18
AMBER,BONNIE,7
AMBER,BROCK,14
AMBER,BULL,10
AMBER,BUSTER,3
AMBER,BUZZ,6
AMBER,BYRON,7
AMBER,CARL,16
AMBER,CHARLIE,6
AMBER,CHESTER,9
AMBER,CHUCK,6
AMBER,CLANCY,2
AMBER,COLETTE,39
AMBER,COLT,33
AMBER,CORDELIUS,18
AMBER,CROW,35
AMBER,DARRYL,6
AMBER,DOUG,8
AMBER,DRACO,7
AMBER,DYNAMIKE,24
AMBER,EDGAR,36
AMBER,EL PRIMO,9
AMBER,EMZ,17
AMBER,EVE,3
AMBER,FANG,16
AMBER,FINX,1
AMBER,FRANK,11
AMBER,GALE,4
AMBER,GENE,4
AMBER,GRAY,5
AMBER,GRIFF,11
AMBER,GROM,14
AMBER,GUS,13
AMBER,HANK,2
AMBER,JACKY,7
AMBER,JAE-YONG,4
AMBER,JANET,9
AMBER,JESSIE,17
AMBER,JUJU,3
AMBER,KAZE,9
AMBER,KENJI,15
AMBER,KIT,13
AMBER,LARRY & LAWRIE,3
AMBER,LEON,9
AMBER,LILY,12
AMBER,LOLA,6
AMBER,LOU,10
AMBER,LUMI,5
AMBER,MAISIE,8
AMBER,MANDY,30
AMBER,MAX,10
AMBER,MEEPLE,2
AMBER,MEG,1
AMBER,MELODIE,5
AMBER,MICO,3
AMBER,MOE,2
AMBER,MORTIS,40
AMBER,MR. P,10
AMBER,NANI,4
AMBER,NITA,15
AMBER,OLLIE,2
AMBER,OTIS,2
AMBER,PAM,4
AMBER,PEARL,3
AMBER,PENNY,15
AMBER,PIPER,16
AMBER,POCO,5
AMBER,RICO,23
AMBER,ROSA,3
AMBER,RUFFS,3
AMBER,SAM,2
AMBER,SHADE,7
AMBER,SHELLY,7
AMBER,SPIKE,13
AMBER,SPROUT,3
AMBER,SQUEAK,17
AMBER,STU,31
AMBER,SURGE,10
AMBER,TARA,10
AMBER,TICK,48
AMBER,WILLOW,8
ANGELO,ASH,2
ANGELO,BARLEY,3
ANGELO,BEA,15
ANGELO,BELLE,11
ANGELO,BERRY,6
ANGELO,BIBI,3
ANGELO,BO,4
ANGELO,BONNIE,4
ANGELO,BROCK,26
