Brawler_1,Brawler_2,Weight
8-BIT,8-BIT,2
8-BIT,ALLI,31
8-BIT,AMBER,23
8-BIT,ANGELO,37
8-BIT,ASH,8
8-BIT,BARLEY,37
8-BIT,BEA,70
8-BIT,BELLE,56
8-BIT,BERRY,28
8-BIT,BIBI,23
8-BIT,BO,74
8-BIT,BONNIE,25
8-BIT,BROCK,102
8-BIT,BULL,31
8-BIT,BUSTER,7
8-BIT,BUZZ,28
8-BIT,BYRON,54
8-BIT,CARL,42
8-BIT,CHARLIE,11
8-BIT,CHESTER,24
8-BIT,CHUCK,20
8-BIT,CLANCY,12
8-BIT,COLETTE,112
8-BIT,COLT,79
8-BIT,CORDELIUS,24
8-BIT,CROW,50
8-BIT,DARRYL,38
8-BIT,DOUG,15
8-BIT,DRACO,14
8-BIT,DYNAMIKE,86
8-BIT,EDGAR,174
8-BIT,EL PRIMO,58
8-BIT,EMZ,75
8-BIT,EVE,16
8-BIT,FANG,133
8-BIT,FINX,8
8-BIT,FRANK,67
8-BIT,GALE,22
8-BIT,GENE,20
8-BIT,GRAY,32
8-BIT,GRIFF,47
8-BIT,GROM,59
8-BIT,GUS,54
8-BIT,HANK,19
8-BIT,JACKY,26
8-BIT,JAE-YONG,19
8-BIT,JANET,10
8-BIT,JESSIE,49
8-BIT,JUJU,13
8-BIT,KAZE,40
8-BIT,KENJI,24
8-BIT,KIT,49
8-BIT,LARRY & LAWRIE,20
8-BIT,LEON,29
8-BIT,LILY,47
8-BIT,LOLA,20
8-BIT,LOU,14
8-BIT,LUMI,28
8-BIT,MAISIE,15
8-BIT,MANDY,115
8-BIT,MAX,33
8-BIT,MEEPLE,25
8-BIT,MEG,12
8-BIT,MELODIE,13
8-BIT,MICO,18
8-BIT,MOE,10
8-BIT,MORTIS,119
8-BIT,MR. P,29
8-BIT,NANI,39
8-BIT,NITA,56
8-BIT,OLLIE,4
8-BIT,OTIS,6
8-BIT,PAM,25
8-BIT,PEARL,5
8-BIT,PENNY,52
8-BIT,PIPER,99
8-BIT,POCO,37
8-BIT,R-T,15
8-BIT,RICO,73
8-BIT,ROSA,18
8-BIT,RUFFS,14
8-BIT,SAM,14
8-BIT,SANDY,45
8-BIT,SHADE,34
8-BIT,SHELLY,33
8-BIT,SPIKE,55
8-BIT,SPROUT,27
8-BIT,SQUEAK,63
8-BIT,STU,49
8-BIT,SURGE,37
8-BIT,TARA,29
8-BIT,TICK,124
8-BIT,WILLOW,14
ALLI,ALLI,9
ALLI,AMBER,28
ALLI,ANGELO,27
ALLI,ASH,11
ALLI,BARLEY,44
ALLI,BEA,53
ALLI,BELLE,56
ALLI,BERRY,27
ALLI,BIBI,41
ALLI,BO,75
ALLI,BONNIE,28
ALLI,BROCK,76
ALLI,BULL,21
ALLI,BUSTER,12
ALLI,BUZZ,20
ALLI,BYRON,41
ALLI,CARL,51
ALLI,CHARLIE,22
ALLI,CHESTER,26
ALLI,CHUCK,14
ALLI,CLANCY,10
ALLI,COLETTE,98
ALLI,COLT,76
ALLI,CORDELIUS,33
ALLI,CROW,38
ALLI,DARRYL,43
ALLI,DOUG,14
ALLI,DRACO,22
ALLI,DYNAMIKE,85
ALLI,EDGAR,183
ALLI,EL PRIMO,48
ALLI,EMZ,64
ALLI,EVE,13
ALLI,FANG,98
ALLI,FINX,17
ALLI,FRANK,51
ALLI,GALE,24
ALLI,GENE,28
ALLI,GRAY,30
ALLI,GRIFF,47
ALLI,GROM,38
ALLI,GUS,62
ALLI,HANK,17
ALLI,JACKY,21
ALLI,JAE-YONG,16
ALLI,JANET,36
ALLI,JESSIE,41
ALLI,JUJU,25
ALLI,KAZE,45
ALLI,KENJI,37
ALLI,KIT,38
ALLI,LARRY & LAWRIE,17
ALLI,LEON,40
ALLI,LILY,52
ALLI,LOLA,9
ALLI,LOU,22
ALLI,LUMI,30
ALLI,MAISIE,21
ALLI,MANDY,89
ALLI,MAX,31
ALLI,MEEPLE,24
ALLI,MEG,23
ALLI,MELODIE,21
ALLI,MICO,19
ALLI,MOE,11
ALLI,MORTIS,118
ALLI,MR. P,28
ALLI,NANI,22
ALLI,NITA,25
ALLI,OLLIE,9
ALLI,OTIS,11
ALLI,PAM,24
ALLI,PEARL,12
ALLI,PENNY,37
ALLI,PIPER,84
ALLI,POCO,30
ALLI,R-T,11
ALLI,RICO,44
ALLI,ROSA,10
ALLI,RUFFS,5
ALLI,SAM,11
ALLI,SANDY,61
ALLI,SHADE,68
ALLI,SHELLY,41
ALLI,SPIKE,54
ALLI,SPROUT,18
ALLI,SQUEAK,57
ALLI,STU,39
ALLI,SURGE,33
ALLI,TARA,31
ALLI,TICK,99
ALLI,WILLOW,21
AMBER,ANGELO,21
AMBER,ASH,18
AMBER,BARLEY,42
AMBER,BEA,72
AMBER,BELLE,46
AMBER,BERRY,28
AMBER,BIBI,23
AMBER,BO,65
AMBER,BONNIE,37
AMBER,BROCK,81
AMBER,BULL,40
AMBER,BUSTER,9
AMBER,BUZZ,30
AMBER,BYRON,41
AMBER,CARL,50
