Brawler_1,Brawler_2,Weight
8-BIT,8-BIT,1
8-BIT,ALLI,44
8-BIT,AMBER,38
8-BIT,ANGELO,15
8-BIT,ASH,17
8-BIT,BARLEY,60
8-BIT,BEA,45
8-BIT,BELLE,47
8-BIT,BERRY,31
8-BIT,BIBI,32
8-BIT,BO,56
8-BIT,BONNIE,29
8-BIT,BROCK,58
8-BIT,BULL,34
8-BIT,BUSTER,9
8-BIT,BUZZ,32
8-BIT,BYRON,58
8-BIT,CARL,36
8-BIT,CHARLIE,4
8-BIT,CHESTER,20
8-BIT,CHUCK,27
8-BIT,CLANCY,18
8-BIT,COLETTE,78
8-BIT,COLT,122
8-BIT,CORDELIUS,19
8-BIT,CROW,46
8-BIT,DARRYL,36
8-BIT,DOUG,19
8-BIT,DRACO,8
8-BIT,DYNAMIKE,91
8-BIT,EDGAR,215
8-BIT,EL PRIMO,44
8-BIT,EMZ,86
8-BIT,EVE,9
8-BIT,FANG,76
8-BIT,FINX,13
8-BIT,FRANK,67
8-BIT,GALE,28
8-BIT,GENE,23
8-BIT,GRAY,11
8-BIT,GRIFF,55
8-BIT,GROM,48
8-BIT,GUS,33
8-BIT,HANK,21
8-BIT,JACKY,26
8-BIT,JAE-YONG,17
8-BIT,JANET,16
8-BIT,JESSIE,47
8-BIT,JUJU,12
8-BIT,KAZE,26
8-BIT,KENJI,39
8-BIT,KIT,28
8-BIT,LARRY & LAWRIE,22
8-BIT,LEON,43
8-BIT,LILY,32
8-BIT,LOLA,17
8-BIT,LOU,26
8-BIT,LUMI,23
8-BIT,MAISIE,24
8-BIT,MANDY,111
8-BIT,MAX,34
8-BIT,MEEPLE,18
8-BIT,MEG,18
8-BIT,MELODIE,10
8-BIT,MICO,11
8-BIT,MOE,12
8-BIT,MORTIS,75
8-BIT,MR. P,23
8-BIT,NANI,46
8-BIT,NITA,57
8-BIT,OLLIE,7
8-BIT,OTIS,8
8-BIT,PAM,18
8-BIT,PEARL,12
8-BIT,PENNY,43
8-BIT,PIPER,92
8-BIT,POCO,36
8-BIT,R-T,12
8-BIT,RICO,65
8-BIT,ROSA,21
8-BIT,RUFFS,8
8-BIT,SAM,8
8-BIT,SANDY,31
8-BIT,SHADE,29
8-BIT,SHELLY,43
8-BIT,SPIKE,63
8-BIT,SPROUT,19
8-BIT,SQUEAK,49
8-BIT,STU,40
8-BIT,SURGE,22
8-BIT,TARA,43
8-BIT,TICK,60
8-BIT,WILLOW,12
ALLI,ALLI,12
ALLI,AMBER,30
ALLI,ANGELO,29
ALLI,ASH,18
ALLI,BARLEY,33
ALLI,BEA,43
ALLI,BELLE,38
ALLI,BERRY,22
ALLI,BIBI,38
ALLI,BO,51
ALLI,BONNIE,27
ALLI,BROCK,52
ALLI,BULL,33
ALLI,BUSTER,14
ALLI,BUZZ,34
ALLI,BYRON,31
ALLI,CARL,37
ALLI,CHARLIE,11
ALLI,CHESTER,36
ALLI,CHUCK,19
ALLI,CLANCY,10
ALLI,COLETTE,94
ALLI,COLT,93
ALLI,CORDELIUS,21
ALLI,CROW,60
ALLI,DARRYL,49
ALLI,DOUG,35
ALLI,DRACO,17
ALLI,DYNAMIKE,93
ALLI,EDGAR,206
ALLI,EL PRIMO,54
ALLI,EMZ,63
ALLI,EVE,16
ALLI,FANG,93
ALLI,FINX,12
ALLI,FRANK,65
ALLI,GALE,26
ALLI,GENE,18
ALLI,GRAY,23
ALLI,GRIFF,28
ALLI,GROM,42
ALLI,GUS,51
ALLI,HANK,25
ALLI,JACKY,18
ALLI,JAE-YONG,19
ALLI,JANET,27
ALLI,JESSIE,33
ALLI,JUJU,29
ALLI,KAZE,44
ALLI,KENJI,25
ALLI,KIT,42
ALLI,LARRY & LAWRIE,29
ALLI,LEON,44
ALLI,LILY,50
ALLI,LOLA,17
ALLI,LOU,23
ALLI,LUMI,24
ALLI,MAISIE,31
ALLI,MANDY,94
ALLI,MAX,41
ALLI,MEEPLE,21
ALLI,MEG,23
ALLI,MELODIE,16
ALLI,MICO,32
ALLI,MOE,7
