Id,Label,Type
8-BIT,8-BIT,Brawler
ALLI,ALLI,Brawler
AMBER,AMBER,Brawler
ANGELO,ANGELO,Brawler
ASH,ASH,Brawler
BARLEY,BARLEY,Brawler
BEA,BEA,Brawler
BELLE,BELLE,Brawler
BERRY,BERRY,Brawler
BIBI,BIBI,Brawler
BO,BO,Brawler
BONNIE,BONNIE,Brawler
BROCK,BROCK,Brawler
BULL,BULL,Brawler
BUSTER,BUSTER,Brawler
BUZZ,BUZZ,Brawler
BYRON,BYRON,Brawler
CARL,CARL,Brawler
CHARLIE,CHARLIE,Brawler
CHESTER,CHESTER,Brawler
CHUCK,CHUCK,Brawler
CLANCY,CLANCY,Brawler
COLETTE,COLETTE,Brawler
COLT,COLT,Brawler
CORDELIUS,CORDELIUS,Brawler
CROW,CROW,Brawler
DARRYL,DARRYL,Brawler
DOUG,DOUG,Brawler
DRACO,DRACO,Brawler
DYNAMIKE,DYNAMIKE,Brawler
EDGAR,EDGAR,Brawler
EL PRIMO,EL PRIMO,Brawler
EMZ,EMZ,Brawler
EVE,EVE,Brawler
FANG,FANG,Brawler
FINX,FINX,Brawler
FRANK,FRANK,Brawler
GALE,GALE,Brawler
GENE,GENE,Brawler
GRAY,GRAY,Brawler
GRIFF,GRIFF,Brawler
GROM,GROM,Brawler
GUS,GUS,Brawler
HANK,HANK,Brawler
JACKY,JACKY,Brawler
JAE-YONG,JAE-YONG,Brawler
JANET,JANET,Brawler
JESSIE,JESSIE,Brawler
JUJU,JUJU,Brawler
KAZE,KAZE,Brawler
KENJI,KENJI,Brawler
KIT,KIT,Brawler
LARRY & LAWRIE,LARRY & LAWRIE,Brawler
LEON,LEON,Brawler
LILY,LILY,Brawler
LOLA,LOLA,Brawler
LOU,LOU,Brawler
LUMI,LUMI,Brawler
MAISIE,MAISIE,Brawler
MANDY,MANDY,Brawler
MAX,MAX,Brawler
MEEPLE,MEEPLE,Brawler
MEG,MEG,Brawler
MELODIE,MELODIE,Brawler
MICO,MICO,Brawler
MOE,MOE,Brawler
MORTIS,MORTIS,Brawler
MR. P,MR. P,Brawler
NANI,NANI,Brawler
NITA,NITA,Brawler
OLLIE,OLLIE,Brawler
OTIS,OTIS,Brawler
PAM,PAM,Brawler
PEARL,PEARL,Brawler
PENNY,PENNY,Brawler
PIPER,PIPER,Brawler
POCO,POCO,Brawler
R-T,R-T,Brawler
RICO,RICO,Brawler
ROSA,ROSA,Brawler
RUFFS,RUFFS,Brawler
SAM,SAM,Brawler
SANDY,SANDY,Brawler
SHADE,SHADE,Brawler
SHELLY,SHELLY,Brawler
SPIKE,SPIKE,Brawler
SPROUT,SPROUT,Brawler
SQUEAK,SQUEAK,Brawler
STU,STU,Brawler
SURGE,SURGE,Brawler
TARA,TARA,Brawler
TICK,TICK,Brawler
WILLOW,WILLOW,Brawler
