Id,Label,Type
CHESTER,CHESTER,Brawler
JESSIE,JESSIE,Brawler
MORTIS,MORTIS,Brawler
KIT,KIT,Brawler
NITA,NITA,Brawler
BROCK,BROCK,Brawler
GROM,GROM,Brawler
KENJI,KENJI,Brawler
SPIKE,SPIKE,Brawler
POCO,POCO,Brawler
STU,STU,Brawler
EL PRIMO,EL PRIMO,Brawler
FRANK,FRANK,Brawler
BELLE,BELLE,Brawler
EDGAR,EDGAR,Brawler
TICK,TICK,Brawler
SPROUT,SPROUT,Brawler
KAZE,KAZE,Brawler
PENNY,PENNY,Brawler
GUS,GUS,Brawler
MANDY,MANDY,Brawler
MICO,MICO,Brawler
PIPER,PIPER,Brawler
COLT,COLT,Brawler
SHADE,SHADE,Brawler
BO,BO,Brawler
FANG,FANG,Brawler
FINX,FINX,Brawler
SQUEAK,SQUEAK,Brawler
SURGE,SURGE,Brawler
BEA,BEA,Brawler
MAISIE,MAISIE,Brawler
SHELLY,SHELLY,Brawler
CHARLIE,CHARLIE,Brawler
BYRON,BYRON,Brawler
GRIFF,GRIFF,Brawler
GENE,GENE,Brawler
GRAY,GRAY,Brawler
PAM,PAM,Brawler
EVE,EVE,Brawler
MAX,MAX,Brawler
SAM,SAM,Brawler
CROW,CROW,Brawler
BIBI,BIBI,Brawler
BUSTER,BUSTER,Brawler
CHUCK,CHUCK,Brawler
DRACO,DRACO,Brawler
ASH,ASH,Brawler
NANI,NANI,Brawler
BULL,BULL,Brawler
DYNAMIKE,DYNAMIKE,Brawler
TARA,TARA,Brawler
WILLOW,WILLOW,Brawler
EMZ,EMZ,Brawler
HANK,HANK,Brawler
DARRYL,DARRYL,Brawler
ANGELO,ANGELO,Brawler
MEEPLE,MEEPLE,Brawler
BERRY,BERRY,Brawler
JAE-YONG,JAE-YONG,Brawler
LOLA,LOLA,Brawler
8-BIT,8-BIT,Brawler
GALE,GALE,Brawler
JANET,JANET,Brawler
COLETTE,COLETTE,Brawler
LEON,LEON,Brawler
LILY,LILY,Brawler
MR. P,MR. P,Brawler
CORDELIUS,CORDELIUS,Brawler
BONNIE,BONNIE,Brawler
LOU,LOU,Brawler
ALLI,ALLI,Brawler
MOE,MOE,Brawler
LUMI,LUMI,Brawler
DOUG,DOUG,Brawler
RUFFS,RUFFS,Brawler
R-T,R-T,Brawler
CARL,CARL,Brawler
RICO,RICO,Brawler
JACKY,JACKY,Brawler
BUZZ,BUZZ,Brawler
LARRY & LAWRIE,LARRY & LAWRIE,Brawler
MELODIE,MELODIE,Brawler
OTIS,OTIS,Brawler
CLANCY,CLANCY,Brawler
SANDY,SANDY,Brawler
BARLEY,BARLEY,Brawler
OLLIE,OLLIE,Brawler
AMBER,AMBER,Brawler
PEARL,PEARL,Brawler
JUJU,JUJU,Brawler
MEG,MEG,Brawler
ROSA,ROSA,Brawler
