Brawler_1,Brawler_2,Weight
8-BIT,8-BIT,1
8-BIT,ALLI,11
8-BIT,AMBER,18
8-BIT,ANGELO,7
8-BIT,ASH,4
8-BIT,BARLEY,29
8-BIT,BEA,23
8-BIT,BELLE,16
8-BIT,BERRY,9
8-BIT,BIBI,13
8-BIT,BO,23
8-BIT,BONNIE,10
8-BIT,BROCK,26
8-BIT,BULL,18
8-BIT,BUSTER,1
8-BIT,BUZZ,6
8-BIT,BYRON,18
8-BIT,CARL,23
8-BIT,CHARLIE,3
8-BIT,CHESTER,3
8-BIT,CHUCK,10
8-BIT,CLANCY,3
8-BIT,COLETTE,16
8-BIT,COLT,33
8-BIT,CORDELIUS,11
8-BIT,CROW,13
8-BIT,DARRYL,16
8-BIT,DOUG,19
8-BIT,DRACO,3
8-BIT,DYNAMIKE,36
8-BIT,EDGAR,92
8-BIT,EL PRIMO,29
8-BIT,EMZ,37
8-BIT,EVE,3
8-BIT,FANG,52
8-BIT,FINX,5
8-BIT,FRANK,35
8-BIT,GALE,7
8-BIT,GENE,18
8-BIT,GRAY,7
8-BIT,GRIFF,25
8-BIT,GROM,15
8-BIT,GUS,25
8-BIT,HANK,5
8-BIT,JACKY,15
8-BIT,JAE-YONG,3
8-BIT,JANET,8
8-BIT,JESSIE,19
8-BIT,JUJU,7
8-BIT,KAZE,7
8-BIT,KENJI,9
8-BIT,KIT,6
8-BIT,LARRY & LAWRIE,7
8-BIT,LEON,18
8-BIT,LILY,14
8-BIT,LOLA,11
8-BIT,LOU,5
8-BIT,LUMI,4
8-BIT,MAISIE,6
8-BIT,MANDY,30
8-BIT,MAX,13
8-BIT,MEEPLE,3
8-BIT,MEG,5
8-BIT,MELODIE,8
8-BIT,MICO,8
8-BIT,MORTIS,27
8-BIT,MR. P,6
8-BIT,NANI,20
8-BIT,NITA,21
8-BIT,OLLIE,1
8-BIT,OTIS,4
8-BIT,PAM,13
8-BIT,PEARL,3
8-BIT,PENNY,22
8-BIT,PIPER,29
8-BIT,POCO,14
8-BIT,R-T,9
8-BIT,RICO,28
8-BIT,ROSA,13
8-BIT,RUFFS,5
8-BIT,SAM,5
8-BIT,SANDY,19
8-BIT,SHADE,15
8-BIT,SHELLY,18
8-BIT,SPIKE,16
8-BIT,SPROUT,8
8-BIT,SQUEAK,27
8-BIT,STU,19
8-BIT,SURGE,9
8-BIT,TARA,16
8-BIT,TICK,36
8-BIT,WILLOW,3
ALLI,ALLI,1
ALLI,AMBER,20
ALLI,ANGELO,4
ALLI,ASH,2
ALLI,BARLEY,12
ALLI,BEA,24
ALLI,BELLE,9
ALLI,BERRY,8
ALLI,BIBI,6
ALLI,BO,19
ALLI,BONNIE,6
ALLI,BROCK,26
ALLI,BULL,18
ALLI,BUSTER,3
ALLI,BUZZ,4
ALLI,BYRON,10
ALLI,CARL,13
ALLI,CHARLIE,3
ALLI,CHESTER,9
ALLI,CHUCK,7
ALLI,CLANCY,4
ALLI,COLETTE,13
ALLI,COLT,29
ALLI,CORDELIUS,3
ALLI,CROW,20
ALLI,DARRYL,17
ALLI,DOUG,16
ALLI,DRACO,7
ALLI,DYNAMIKE,28
ALLI,EDGAR,91
ALLI,EL PRIMO,12
ALLI,EMZ,22
ALLI,EVE,5
ALLI,FANG,43
ALLI,FINX,2
ALLI,FRANK,25
ALLI,GALE,7
ALLI,GENE,9
ALLI,GRAY,8
ALLI,GRIFF,11
ALLI,GROM,11
ALLI,GUS,11
ALLI,HANK,4
ALLI,JACKY,6
ALLI,JAE-YONG,6
ALLI,JANET,6
ALLI,JESSIE,11
ALLI,JUJU,7
ALLI,KAZE,17
ALLI,KENJI,13
ALLI,KIT,6
ALLI,LARRY & LAWRIE,2
ALLI,LEON,10
ALLI,LILY,13
ALLI,LOLA,6
ALLI,LOU,2
ALLI,LUMI,4
ALLI,MAISIE,6
ALLI,MANDY,21
ALLI,MAX,7
ALLI,MEEPLE,4
ALLI,MEG,7
ALLI,MELODIE,3
ALLI,MICO,5
ALLI,MOE,2
ALLI,MORTIS,24
ALLI,MR. P,6
ALLI,NANI,7
ALLI,NITA,8
ALLI,OLLIE,1
ALLI,OTIS,1
ALLI,PAM,4
ALLI,PEARL,5
ALLI,PENNY,15
ALLI,PIPER,19
ALLI,POCO,7
ALLI,R-T,4
ALLI,RICO,18
ALLI,ROSA,3
ALLI,RUFFS,1
ALLI,SAM,4
ALLI,SANDY,15
ALLI,SHADE,22
ALLI,SHELLY,10
ALLI,SPIKE,16
ALLI,SPROUT,3
ALLI,SQUEAK,14
ALLI,STU,12
ALLI,SURGE,7
ALLI,TARA,5
ALLI,TICK,23
AMBER,AMBER,3
AMBER,ANGELO,4
AMBER,ASH,6
AMBER,BARLEY,17
AMBER,BEA,14
AMBER,BELLE,22
AMBER,BERRY,9
AMBER,BIBI,15
AMBER,BO,36
AMBER,BONNIE,7
AMBER,BROCK,30
AMBER,BULL,21
AMBER,BUZZ,13
AMBER,BYRON,12
AMBER,CARL,15
AMBER,CHARLIE,5
AMBER,CHESTER,11
AMBER,CHUCK,4
AMBER,CLANCY,4
AMBER,COLETTE,28
AMBER,COLT,30
AMBER,CORDELIUS,11
AMBER,CROW,13
AMBER,DARRYL,15
AMBER,DOUG,17
AMBER,DRACO,6
AMBER,DYNAMIKE,33
AMBER,EDGAR,80
AMBER,EL PRIMO,6
AMBER,EMZ,23
AMBER,EVE,1
AMBER,FANG,27
AMBER,FINX,2
AMBER,FRANK,12
AMBER,GALE,6
AMBER,GENE,10
AMBER,GRAY,1
AMBER,GRIFF,11
AMBER,GROM,11
AMBER,GUS,17
AMBER,HANK,7
AMBER,JACKY,5
AMBER,JAE-YONG,3
AMBER,JANET,8
AMBER,JESSIE,18
AMBER,JUJU,1
AMBER,KAZE,10
AMBER,KENJI,7
AMBER,KIT,10
AMBER,LARRY & LAWRIE,8
AMBER,LEON,8
AMBER,LILY,13
AMBER,LOLA,6
AMBER,LOU,5
AMBER,LUMI,7
AMBER,MAISIE,8
AMBER,MANDY,14
AMBER,MAX,5
AMBER,MEEPLE,5
AMBER,MEG,3
AMBER,MELODIE,2
AMBER,MICO,4
AMBER,MOE,2
AMBER,MORTIS,37
AMBER,MR. P,6
AMBER,NANI,16
AMBER,NITA,16
AMBER,OLLIE,1
AMBER,OTIS,1
AMBER,PAM,8
AMBER,PEARL,6
AMBER,PENNY,21
AMBER,PIPER,24
AMBER,POCO,15
AMBER,R-T,4
AMBER,RICO,33
AMBER,ROSA,4
AMBER,RUFFS,2
AMBER,SAM,5
AMBER,SANDY,23
AMBER,SHADE,11
AMBER,SHELLY,11
AMBER,SPIKE,22
AMBER,SPROUT,7
AMBER,SQUEAK,17
AMBER,STU,8
AMBER,SURGE,12
AMBER,TARA,21
AMBER,TICK,24
AMBER,WILLOW,7
ANGELO,ASH,1
ANGELO,BARLEY,11
ANGELO,BEA,18
ANGELO,BELLE,10
ANGELO,BERRY,4
ANGELO,BIBI,4
ANGELO,BO,11
ANGELO,BONNIE,5
ANGELO,BROCK,19
ANGELO,BULL,8
ANGELO,BUSTER,2
ANGELO,BUZZ,3
ANGELO,BYRON,8
ANGELO,CARL,12
ANGELO,CHARLIE,2
ANGELO,CHESTER,8
ANGELO,CHUCK,3
ANGELO,CLANCY,3
ANGELO,COLETTE,14
ANGELO,COLT,14
ANGELO,CORDELIUS,2
ANGELO,CROW,5
ANGELO,DARRYL,4
ANGELO,DOUG,3
ANGELO,DRACO,2
ANGELO,DYNAMIKE,9
ANGELO,EDGAR,26
ANGELO,EL PRIMO,1
ANGELO,EMZ,15
ANGELO,EVE,1
ANGELO,FANG,15
ANGELO,FINX,3
ANGELO,FRANK,12
ANGELO,GENE,5
ANGELO,GRAY,5
ANGELO,GRIFF,6
ANGELO,GROM,8
ANGELO,GUS,8
ANGELO,HANK,5
ANGELO,JACKY,5
ANGELO,JAE-YONG,4
ANGELO,JANET,4
ANGELO,JESSIE,11
ANGELO,JUJU,2
ANGELO,KAZE,6
