Brawler_1,Brawler_2,Weight
8-BIT,8-BIT,32
8-BIT,ALLI,14
8-BIT,AMBER,12
8-BIT,ANGELO,10
8-BIT,ASH,3
8-BIT,BARLEY,21
8-BIT,BEA,12
8-BIT,BELLE,17
8-BIT,BERRY,6
8-BIT,BIBI,10
8-BIT,BO,23
8-BIT,BONNIE,13
8-BIT,BROCK,35
8-BIT,BULL,11
8-BIT,BUSTER,5
8-BIT,BUZZ,4
8-BIT,BYRON,7
8-BIT,CARL,17
8-BIT,CHARLIE,3
8-BIT,CHESTER,8
8-BIT,CHUCK,9
8-BIT,CLANCY,4
8-BIT,COLETTE,11
8-BIT,COLT,33
8-BIT,CORDELIUS,8
8-BIT,CROW,17
8-BIT,DARRYL,16
8-BIT,DOUG,12
8-BIT,DRACO,4
8-BIT,DYNAMIKE,36
8-BIT,EDGAR,81
8-BIT,EL PRIMO,25
8-BIT,EMZ,29
8-BIT,EVE,2
8-BIT,FANG,42
8-BIT,FINX,1
8-BIT,FRANK,35
8-BIT,GALE,6
8-BIT,GENE,9
8-BIT,GRAY,4
8-BIT,GRIFF,21
8-BIT,GROM,18
8-BIT,GUS,30
8-BIT,HANK,3
8-BIT,JACKY,9
8-BIT,JAE-YONG,7
8-BIT,JANET,4
8-BIT,JESSIE,25
8-BIT,JUJU,4
8-BIT,KAZE,11
8-BIT,KENJI,13
8-BIT,KIT,8
8-BIT,LARRY & LAWRIE,5
8-BIT,LEON,13
8-BIT,LILY,8
8-BIT,LOLA,4
8-BIT,LOU,4
8-BIT,LUMI,8
8-BIT,MAISIE,8
8-BIT,MANDY,37
8-BIT,MAX,5
8-BIT,MEG,8
8-BIT,MELODIE,4
8-BIT,MICO,3
8-BIT,MOE,2
8-BIT,MORTIS,27
8-BIT,MR. P,5
8-BIT,NANI,13
8-BIT,NITA,16
8-BIT,OLLIE,3
8-BIT,OTIS,4
8-BIT,PAM,8
8-BIT,PEARL,4
8-BIT,PENNY,24
8-BIT,PIPER,28
8-BIT,POCO,22
8-BIT,R-T,8
8-BIT,RICO,32
8-BIT,ROSA,5
8-BIT,SAM,4
8-BIT,SANDY,6
8-BIT,SHADE,12
8-BIT,SHELLY,17
8-BIT,SPIKE,21
8-BIT,SPROUT,6
8-BIT,SQUEAK,12
8-BIT,STU,20
8-BIT,SURGE,10
8-BIT,TARA,9
8-BIT,TICK,25
ALLI,ALLI,4
ALLI,AMBER,14
ALLI,ANGELO,13
ALLI,ASH,6
ALLI,BARLEY,9
ALLI,BEA,18
ALLI,BELLE,19
ALLI,BERRY,11
ALLI,BIBI,13
ALLI,BO,24
ALLI,BONNIE,17
ALLI,BROCK,17
ALLI,BULL,17
ALLI,BUSTER,4
ALLI,BUZZ,7
ALLI,BYRON,14
ALLI,CARL,26
ALLI,CHARLIE,8
ALLI,CHESTER,9
ALLI,CHUCK,7
ALLI,CLANCY,6
ALLI,COLETTE,20
ALLI,COLT,30
ALLI,CORDELIUS,10
ALLI,CROW,11
ALLI,DARRYL,20
ALLI,DOUG,15
ALLI,DRACO,10
ALLI,DYNAMIKE,29
ALLI,EDGAR,73
ALLI,EL PRIMO,15
ALLI,EMZ,22
ALLI,EVE,3
ALLI,FANG,30
ALLI,FINX,4
ALLI,FRANK,31
ALLI,GALE,4
ALLI,GENE,6
ALLI,GRAY,8
ALLI,GRIFF,7
ALLI,GROM,11
ALLI,GUS,28
ALLI,HANK,12
ALLI,JACKY,15
ALLI,JAE-YONG,11
ALLI,JANET,3
ALLI,JESSIE,14
ALLI,JUJU,9
ALLI,KAZE,13
ALLI,KENJI,19
ALLI,KIT,12
ALLI,LARRY & LAWRIE,10
ALLI,LEON,12
ALLI,LILY,17
ALLI,LOLA,6
ALLI,LOU,4
ALLI,LUMI,9
ALLI,MAISIE,10
ALLI,MANDY,27
ALLI,MAX,12
ALLI,MEEPLE,9
ALLI,MEG,10
ALLI,MELODIE,5
ALLI,MICO,6
ALLI,MOE,3
ALLI,MORTIS,22
ALLI,MR. P,8
ALLI,NANI,10
ALLI,NITA,15
ALLI,OLLIE,3
ALLI,OTIS,5
ALLI,PAM,11
ALLI,PEARL,5
ALLI,PENNY,12
ALLI,PIPER,29
ALLI,POCO,9
ALLI,R-T,8
ALLI,RICO,15
ALLI,ROSA,6
ALLI,RUFFS,4
ALLI,SAM,8
ALLI,SANDY,13
ALLI,SHADE,18
ALLI,SHELLY,8
ALLI,SPIKE,22
ALLI,SPROUT,7
ALLI,SQUEAK,21
ALLI,STU,14
ALLI,SURGE,11
ALLI,TARA,15
ALLI,TICK,15
ALLI,WILLOW,6
AMBER,AMBER,3
AMBER,ANGELO,9
AMBER,ASH,9
AMBER,BARLEY,18
AMBER,BEA,18
AMBER,BELLE,6
AMBER,BERRY,7
AMBER,BIBI,20
AMBER,BO,21
AMBER,BONNIE,15
AMBER,BROCK,22
AMBER,BULL,13
AMBER,BUSTER,5
AMBER,BUZZ,9
AMBER,BYRON,8
AMBER,CARL,16
AMBER,CHARLIE,6
AMBER,CHESTER,11
AMBER,CHUCK,5
AMBER,CLANCY,9
AMBER,COLETTE,20
AMBER,COLT,19
AMBER,CORDELIUS,15
AMBER,CROW,22
AMBER,DARRYL,18
AMBER,DOUG,17
AMBER,DRACO,20
AMBER,DYNAMIKE,24
AMBER,EDGAR,64
AMBER,EL PRIMO,17
AMBER,EMZ,28
AMBER,EVE,3
AMBER,FANG,31
AMBER,FINX,6
AMBER,FRANK,28
AMBER,GALE,12
AMBER,GENE,5
AMBER,GRAY,10
AMBER,GRIFF,25
AMBER,GROM,14
AMBER,GUS,14
AMBER,HANK,8
AMBER,JACKY,5
AMBER,JAE-YONG,6
AMBER,JANET,5
AMBER,JESSIE,14
AMBER,JUJU,4
AMBER,KAZE,12
AMBER,KENJI,13
AMBER,KIT,11
AMBER,LARRY & LAWRIE,6
AMBER,LEON,13
AMBER,LILY,16
AMBER,LOLA,7
AMBER,LOU,7
AMBER,LUMI,8
AMBER,MAISIE,8
AMBER,MANDY,33
AMBER,MAX,5
AMBER,MEEPLE,8
AMBER,MEG,5
AMBER,MELODIE,5
AMBER,MICO,3
AMBER,MOE,1
AMBER,MORTIS,44
AMBER,MR. P,8
AMBER,NANI,9
AMBER,NITA,16
AMBER,OLLIE,1
AMBER,OTIS,1
AMBER,PAM,6
AMBER,PENNY,16
AMBER,PIPER,21
AMBER,POCO,13
AMBER,R-T,7
AMBER,RICO,17
AMBER,ROSA,2
AMBER,RUFFS,2
AMBER,SAM,2
AMBER,SANDY,10
AMBER,SHADE,17
AMBER,SHELLY,9
AMBER,SPIKE,15
AMBER,SPROUT,2
AMBER,SQUEAK,20
AMBER,STU,12
AMBER,SURGE,7
AMBER,TARA,15
AMBER,TICK,23
AMBER,WILLOW,3
ANGELO,ANGELO,1
ANGELO,ASH,3
ANGELO,BARLEY,6
ANGELO,BEA,11
ANGELO,BELLE,14
ANGELO,BERRY,5
ANGELO,BIBI,3
ANGELO,BO,12
ANGELO,BONNIE,10
ANGELO,BROCK,21
ANGELO,BULL,3
ANGELO,BUZZ,3
ANGELO,BYRON,12
ANGELO,CARL,11
ANGELO,CHARLIE,2
ANGELO,CHESTER,6
ANGELO,CHUCK,1
ANGELO,CLANCY,2
ANGELO,COLETTE,8
ANGELO,COLT,12
ANGELO,CORDELIUS,11
ANGELO,CROW,9
ANGELO,DARRYL,6
ANGELO,DOUG,10
ANGELO,DRACO,3
ANGELO,DYNAMIKE,13
ANGELO,EDGAR,25
ANGELO,EL PRIMO,3
ANGELO,EMZ,10
ANGELO,EVE,7
ANGELO,FANG,16
ANGELO,FINX,1
ANGELO,FRANK,10
ANGELO,GALE,4
ANGELO,GENE,4
ANGELO,GRAY,3
ANGELO,GRIFF,7
ANGELO,GROM,7
ANGELO,GUS,12
ANGELO,HANK,4
ANGELO,JACKY,2
ANGELO,JAE-YONG,4
ANGELO,JANET,9
ANGELO,JESSIE,4
ANGELO,JUJU,2
ANGELO,KAZE,10
ANGELO,KENJI,5
ANGELO,KIT,6
ANGELO,LARRY & LAWRIE,5
ANGELO,LEON,11
ANGELO,LILY,3
ANGELO,LOLA,6
ANGELO,LOU,5
ANGELO,LUMI,4
ANGELO,MAISIE,5
ANGELO,MANDY,19
ANGELO,MAX,8
ANGELO,MEEPLE,5
ANGELO,MEG,1
ANGELO,MELODIE,2
ANGELO,MICO,1
ANGELO,MOE,1
ANGELO,MORTIS,8
ANGELO,MR. P,7
ANGELO,NANI,8
ANGELO,NITA,8
ANGELO,OLLIE,1
ANGELO,OTIS,1
ANGELO,PAM,3
ANGELO,PEARL,4
ANGELO,PENNY,8
ANGELO,PIPER,24
ANGELO,POCO,5
ANGELO,R-T,6
ANGELO,RICO,10
ANGELO,ROSA,1
ANGELO,RUFFS,1
ANGELO,SAM,2
ANGELO,SANDY,2
ANGELO,SHADE,5
ANGELO,SHELLY,6
ANGELO,SPIKE,10
ANGELO,SPROUT,2
ANGELO,SQUEAK,7
ANGELO,STU,2
ANGELO,SURGE,6
ANGELO,TARA,6
ANGELO,TICK,15
ANGELO,WILLOW,4
ASH,ASH,1
ASH,BARLEY,3
ASH,BEA,4
ASH,BELLE,6
ASH,BERRY,7
ASH,BIBI,8
ASH,BO,9
ASH,BONNIE,5
ASH,BROCK,11
ASH,BULL,7
ASH,BUZZ,4
ASH,BYRON,1
ASH,CARL,7
ASH,CHARLIE,2
ASH,CHESTER,7
ASH,CHUCK,1
ASH,CLANCY,2
ASH,COLETTE,6
ASH,COLT,5
ASH,CORDELIUS,4
ASH,CROW,7
ASH,DARRYL,9
ASH,DOUG,12
ASH,DRACO,7
ASH,DYNAMIKE,10
ASH,EDGAR,19
ASH,EL PRIMO,5
ASH,EMZ,7
ASH,FANG,9
ASH,FINX,3
ASH,FRANK,11
ASH,GALE,3
ASH,GENE,2
ASH,GRAY,1
ASH,GRIFF,8
ASH,GROM,5
ASH,GUS,2
ASH,HANK,5
ASH,JACKY,4
ASH,JAE-YONG,2
ASH,JANET,4
ASH,JESSIE,5
ASH,JUJU,2
ASH,KAZE,14
ASH,KENJI,8
ASH,KIT,6
ASH,LARRY & LAWRIE,5
ASH,LEON,4
ASH,LILY,5
ASH,LOLA,3
ASH,LOU,1
