Brawler_1,Brawler_2,Weight
8-BIT,8-BIT,3
8-BIT,ALLI,32
8-BIT,AMBER,15
8-BIT,ANGELO,14
8-BIT,ASH,10
8-BIT,BARLEY,24
8-BIT,BEA,49
8-BIT,BELLE,48
8-BIT,BERRY,24
8-BIT,BIBI,19
8-BIT,BO,61
8-BIT,BONNIE,31
8-BIT,BROCK,71
8-BIT,BULL,26
8-BIT,BUSTER,10
8-BIT,BUZZ,9
8-BIT,BYRON,33
8-BIT,CARL,46
8-BIT,CHARLIE,20
8-BIT,CHESTER,22
8-BIT,CHUCK,18
8-BIT,CLANCY,5
8-BIT,COLETTE,77
8-BIT,COLT,56
8-BIT,CORDELIUS,16
8-BIT,CROW,39
8-BIT,DARRYL,26
8-BIT,DOUG,20
8-BIT,DRACO,11
8-BIT,DYNAMIKE,62
8-BIT,EDGAR,131
8-BIT,EL PRIMO,35
8-BIT,EMZ,62
8-BIT,EVE,15
8-BIT,FANG,92
8-BIT,FINX,14
8-BIT,FRANK,44
8-BIT,GALE,14
8-BIT,GENE,19
8-BIT,GRAY,21
8-BIT,GRIFF,40
8-BIT,GROM,45
8-BIT,GUS,52
8-BIT,HANK,18
8-BIT,JACKY,8
8-BIT,JAE-YONG,11
8-BIT,JANET,13
8-BIT,JESSIE,53
8-BIT,JUJU,16
8-BIT,KAZE,30
8-BIT,KENJI,37
8-BIT,KIT,45
8-BIT,LARRY & LAWRIE,15
8-BIT,LEON,24
8-BIT,LILY,56
8-BIT,LOLA,11
8-BIT,LOU,7
8-BIT,LUMI,15
8-BIT,MAISIE,11
8-BIT,MANDY,85
8-BIT,MAX,13
8-BIT,MEEPLE,39
8-BIT,MEG,23
8-BIT,MELODIE,26
8-BIT,MICO,30
8-BIT,MOE,5
8-BIT,MORTIS,64
8-BIT,MR. P,31
8-BIT,NANI,15
8-BIT,NITA,24
8-BIT,OLLIE,6
8-BIT,OTIS,7
8-BIT,PAM,18
8-BIT,PEARL,12
8-BIT,PENNY,50
8-BIT,PIPER,69
8-BIT,POCO,25
8-BIT,R-T,14
8-BIT,RICO,50
8-BIT,ROSA,6
8-BIT,RUFFS,14
8-BIT,SAM,9
8-BIT,SANDY,28
8-BIT,SHADE,25
8-BIT,SHELLY,12
8-BIT,SPIKE,51
8-BIT,SPROUT,10
8-BIT,SQUEAK,33
8-BIT,STU,44
8-BIT,SURGE,27
8-BIT,TARA,24
8-BIT,TICK,83
8-BIT,WILLOW,9
ALLI,ALLI,19
ALLI,AMBER,40
ALLI,ANGELO,40
ALLI,ASH,17
ALLI,BARLEY,41
ALLI,BEA,50
ALLI,BELLE,54
ALLI,BERRY,59
ALLI,BIBI,37
ALLI,BO,87
ALLI,BONNIE,49
ALLI,BROCK,69
ALLI,BULL,38
ALLI,BUSTER,17
ALLI,BUZZ,27
ALLI,BYRON,44
ALLI,CARL,56
ALLI,CHARLIE,47
ALLI,CHESTER,33
ALLI,CHUCK,33
ALLI,CLANCY,17
ALLI,COLETTE,141
ALLI,COLT,43
ALLI,CORDELIUS,40
ALLI,CROW,58
ALLI,DARRYL,36
ALLI,DOUG,26
ALLI,DRACO,36
ALLI,DYNAMIKE,79
ALLI,EDGAR,154
ALLI,EL PRIMO,36
ALLI,EMZ,60
ALLI,EVE,26
ALLI,FANG,98
ALLI,FINX,35
ALLI,FRANK,60
ALLI,GALE,27
ALLI,GENE,14
ALLI,GRAY,66
ALLI,GRIFF,46
ALLI,GROM,80
ALLI,GUS,64
