Brawler_1,Brawler_2,Weight
8-BIT,ALLI,6
8-BIT,ANGELO,6
8-BIT,ASH,2
8-BIT,BARLEY,9
8-BIT,BEA,15
8-BIT,BELLE,4
8-BIT,BERRY,7
8-BIT,BIBI,6
8-BIT,BO,19
8-BIT,BONNIE,7
8-BIT,BROCK,15
8-BIT,BULL,2
8-BIT,BUSTER,5
8-BIT,BUZZ,3
8-BIT,BYRON,13
8-BIT,CARL,16
8-BIT,CHARLIE,6
8-BIT,CHESTER,14
8-BIT,CHUCK,6
8-BIT,CLANCY,3
8-BIT,COLETTE,33
8-BIT,COLT,17
8-BIT,CORDELIUS,4
8-BIT,CROW,13
8-BIT,DARRYL,5
8-BIT,DOUG,1
8-BIT,DRACO,3
8-BIT,DYNAMIKE,16
8-BIT,EDGAR,31
8-BIT,EL PRIMO,6
8-BIT,EMZ,10
8-BIT,EVE,3
8-BIT,FANG,20
8-BIT,FINX,2
8-BIT,FRANK,9
8-BIT,GALE,3
8-BIT,GENE,5
8-BIT,GRAY,3
8-BIT,GRIFF,11
8-BIT,GROM,8
8-BIT,GUS,4
8-BIT,HANK,4
8-BIT,JAE-YONG,13
8-BIT,JANET,5
8-BIT,JESSIE,8
8-BIT,JUJU,7
8-BIT,KAZE,8
8-BIT,KENJI,11
8-BIT,KIT,8
8-BIT,LARRY & LAWRIE,3
8-BIT,LEON,12
8-BIT,LILY,15
8-BIT,LOLA,3
8-BIT,LOU,1
8-BIT,LUMI,1
8-BIT,MAISIE,4
8-BIT,MANDY,28
8-BIT,MAX,3
8-BIT,MEEPLE,5
8-BIT,MEG,4
8-BIT,MELODIE,3
8-BIT,MICO,17
8-BIT,MORTIS,17
8-BIT,MR. P,6
8-BIT,NANI,11
8-BIT,NITA,5
8-BIT,OLLIE,2
8-BIT,PAM,1
8-BIT,PEARL,3
8-BIT,PENNY,9
8-BIT,PIPER,24
8-BIT,POCO,6
8-BIT,R-T,4
8-BIT,RICO,15
8-BIT,ROSA,3
8-BIT,RUFFS,2
8-BIT,SAM,4
8-BIT,SANDY,8
8-BIT,SHADE,7
8-BIT,SHELLY,5
8-BIT,SPIKE,10
8-BIT,SPROUT,3
8-BIT,SQUEAK,16
8-BIT,STU,6
8-BIT,SURGE,8
8-BIT,TARA,10
8-BIT,TICK,27
8-BIT,WILLOW,2
ALLI,ALLI,3
ALLI,AMBER,12
ALLI,ANGELO,3
ALLI,ASH,13
ALLI,BARLEY,5
ALLI,BEA,10
ALLI,BELLE,12
ALLI,BERRY,13
ALLI,BIBI,11
ALLI,BO,11
ALLI,BONNIE,8
ALLI,BROCK,12
ALLI,BULL,9
ALLI,BUSTER,5
ALLI,BUZZ,9
ALLI,BYRON,6
ALLI,CARL,15
ALLI,CHARLIE,8
ALLI,CHESTER,7
ALLI,CHUCK,7
ALLI,COLETTE,53
ALLI,COLT,18
ALLI,CORDELIUS,10
ALLI,CROW,9
ALLI,DARRYL,10
ALLI,DOUG,9
ALLI,DRACO,10
ALLI,DYNAMIKE,14
ALLI,EDGAR,32
ALLI,EL PRIMO,11
ALLI,EMZ,13
ALLI,EVE,4
ALLI,FANG,14
ALLI,FINX,7
ALLI,FRANK,11
ALLI,GALE,4
ALLI,GENE,6
ALLI,GRAY,5
ALLI,GRIFF,13
ALLI,GROM,18
ALLI,GUS,10
ALLI,HANK,9
ALLI,JACKY,2
ALLI,JAE-YONG,13
ALLI,JANET,4
ALLI,JESSIE,12
ALLI,JUJU,4
ALLI,KAZE,31
ALLI,KENJI,11
ALLI,KIT,9
ALLI,LARRY & LAWRIE,6
ALLI,LEON,13
ALLI,LILY,10
ALLI,LOLA,4
ALLI,LOU,8
ALLI,LUMI,7
ALLI,MAISIE,6
ALLI,MANDY,31
ALLI,MAX,10
ALLI,MEEPLE,6
ALLI,MEG,6
ALLI,MELODIE,5
ALLI,MICO,10
ALLI,MOE,1
ALLI,MORTIS,23
ALLI,MR. P,6
ALLI,NANI,7
ALLI,NITA,10
ALLI,OLLIE,8
ALLI,OTIS,1
ALLI,PAM,7
ALLI,PEARL,1
ALLI,PENNY,8
ALLI,PIPER,22
ALLI,R-T,2
ALLI,RICO,15
ALLI,ROSA,4
ALLI,RUFFS,3
ALLI,SANDY,11
ALLI,SHADE,22
ALLI,SHELLY,6
ALLI,SPIKE,17
ALLI,SPROUT,9
ALLI,SQUEAK,15
ALLI,STU,6
ALLI,SURGE,7
ALLI,TARA,12
ALLI,TICK,25
ALLI,WILLOW,2
AMBER,AMBER,1
AMBER,ANGELO,2
AMBER,BARLEY,4
AMBER,BEA,14
AMBER,BELLE,8
AMBER,BERRY,3
AMBER,BIBI,15
AMBER,BO,17
AMBER,BONNIE,9
AMBER,BROCK,10
AMBER,BULL,7
AMBER,BUSTER,2
AMBER,BUZZ,9
AMBER,BYRON,9
AMBER,CARL,20
AMBER,CHARLIE,5
AMBER,CHESTER,19
AMBER,CHUCK,6
AMBER,CLANCY,7
AMBER,COLETTE,40
AMBER,COLT,27
AMBER,CORDELIUS,63
AMBER,CROW,22
AMBER,DARRYL,4
AMBER,DOUG,6
AMBER,DRACO,6
AMBER,DYNAMIKE,18
AMBER,EDGAR,30
AMBER,EL PRIMO,12
AMBER,EMZ,12
AMBER,EVE,2
AMBER,FANG,17
AMBER,FINX,3
AMBER,FRANK,15
AMBER,GALE,6
AMBER,GENE,6
AMBER,GRAY,4
AMBER,GRIFF,10
AMBER,GROM,17
AMBER,GUS,17
AMBER,HANK,6
AMBER,JACKY,5
AMBER,JAE-YONG,24
AMBER,JANET,4
AMBER,JESSIE,9
AMBER,KAZE,31
AMBER,KENJI,29
AMBER,KIT,9
AMBER,LARRY & LAWRIE,3
AMBER,LEON,10
AMBER,LILY,10
AMBER,LOLA,3
AMBER,LOU,5
AMBER,LUMI,6
AMBER,MAISIE,32
AMBER,MANDY,14
AMBER,MAX,8
AMBER,MEEPLE,6
AMBER,MEG,8
AMBER,MELODIE,6
AMBER,MICO,9
AMBER,MORTIS,52
AMBER,MR. P,4
AMBER,NANI,6
AMBER,NITA,5
AMBER,OLLIE,2
AMBER,OTIS,3
AMBER,PAM,5
AMBER,PEARL,5
AMBER,PENNY,11
AMBER,PIPER,7
AMBER,POCO,5
AMBER,R-T,6
AMBER,RICO,42
AMBER,ROSA,5
AMBER,RUFFS,10
AMBER,SAM,2
AMBER,SANDY,9
AMBER,SHADE,14
AMBER,SHELLY,12
AMBER,SPIKE,18
AMBER,SPROUT,1
AMBER,SQUEAK,16
AMBER,STU,63
AMBER,SURGE,9
AMBER,TARA,19
AMBER,TICK,33
AMBER,WILLOW,4
ANGELO,BARLEY,2
ANGELO,BEA,15
ANGELO,BELLE,11
ANGELO,BERRY,3
ANGELO,BIBI,1
ANGELO,BO,9
ANGELO,BONNIE,8
ANGELO,BROCK,22
ANGELO,BULL,4
ANGELO,BUSTER,2
ANGELO,BUZZ,5
ANGELO,BYRON,9
ANGELO,CARL,2
ANGELO,CHARLIE,7
ANGELO,CHESTER,5
ANGELO,CLANCY,2
ANGELO,COLETTE,46
ANGELO,COLT,17
ANGELO,CORDELIUS,3
ANGELO,CROW,13
ANGELO,DARRYL,12
ANGELO,DOUG,2
ANGELO,DYNAMIKE,9
ANGELO,EDGAR,31
ANGELO,EL PRIMO,5
ANGELO,EMZ,18
ANGELO,EVE,3
ANGELO,FANG,11
ANGELO,FINX,1
ANGELO,FRANK,2
ANGELO,GALE,4
ANGELO,GENE,8
ANGELO,GRAY,13
ANGELO,GRIFF,3
ANGELO,GROM,17
ANGELO,GUS,23
ANGELO,HANK,4
ANGELO,JACKY,1
ANGELO,JAE-YONG,3
ANGELO,JANET,2
ANGELO,JESSIE,7
ANGELO,JUJU,5
ANGELO,KAZE,9
ANGELO,KENJI,6
ANGELO,KIT,4
ANGELO,LARRY & LAWRIE,6
ANGELO,LEON,13
ANGELO,LILY,11
ANGELO,LOLA,1
ANGELO,LOU,3
ANGELO,LUMI,2
ANGELO,MAISIE,6
ANGELO,MANDY,39
ANGELO,MAX,9
ANGELO,MEEPLE,4
ANGELO,MEG,2
ANGELO,MICO,4
ANGELO,MORTIS,11
ANGELO,MR. P,12
ANGELO,NANI,14
ANGELO,NITA,1
ANGELO,OLLIE,2
ANGELO,OTIS,4
ANGELO,PEARL,6
ANGELO,PENNY,2
ANGELO,PIPER,68
ANGELO,R-T,1
ANGELO,RICO,11
ANGELO,ROSA,2
ANGELO,RUFFS,1
ANGELO,SAM,2
ANGELO,SHADE,7
ANGELO,SHELLY,3
ANGELO,SPIKE,4
ANGELO,SPROUT,4
ANGELO,SQUEAK,7
ANGELO,STU,4
ANGELO,SURGE,4
ANGELO,TARA,6
ANGELO,TICK,36
ANGELO,WILLOW,6
ASH,BARLEY,4
ASH,BEA,7
ASH,BELLE,2
ASH,BERRY,1
ASH,BIBI,4
ASH,BO,5
ASH,BONNIE,36
ASH,BROCK,7
