Source,Target,Type,Weight,probability
8-BIT,8-BIT,Undirected,1.03126,0.9696969696969697
ALLI,ANGELO,Undirected,1.3077023076923078,0.7647058823529411
ALLI,BELLE,Undirected,1.4736942105263158,0.6785714285714286
ALLI,BONNIE,Undirected,1.3529511764705884,0.7391304347826086
ALLI,CARL,Undirected,1.50001,0.6666666666666666
ALLI,CORDELIUS,Undirected,1.3000099999999999,0.7692307692307693
ALLI,GUS,Undirected,1.3928671428571429,0.717948717948718
ALLI,HANK,Undirected,1.3333433333333333,0.75
ALLI,JACKY,Undirected,1.40001,0.7142857142857143
ALLI,LARRY & LAWRIE,Undirected,1.20001,0.8333333333333334
ALLI,TARA,Undirected,1.3333433333333333,0.75
ALLI,WILLOW,Undirected,1.00001,1.0
AMBER,BUSTER,Undirected,1.00001,1.0
AMBER,DRACO,Undirected,1.3000099999999999,0.7692307692307693
AMBER,EL PRIMO,Undirected,1.3529511764705884,0.7391304347826086
AMBER,FRANK,Undirected,1.4285814285714287,0.7
AMBER,GRAY,Undirected,1.1000100000000002,0.9090909090909091
AMBER,GRIFF,Undirected,1.44001,0.6944444444444444
AMBER,MANDY,Undirected,1.4242524242424244,0.7021276595744681
ANGELO,CORDELIUS,Undirected,1.181828181818182,0.8461538461538461
ANGELO,DOUG,Undirected,1.3000099999999999,0.7692307692307693
ANGELO,EVE,Undirected,1.1428671428571429,0.875
ANGELO,R-T,Undirected,1.00001,1.0
ASH,CHESTER,Undirected,1.1428671428571429,0.875
ASH,DOUG,Undirected,1.25001,0.8
ASH,KAZE,Undirected,1.3571528571428573,0.7368421052631579
ASH,MANDY,Undirected,1.3000099999999999,0.7692307692307693
ASH,SQUEAK,Undirected,1.1428671428571429,0.875
ASH,STU,Undirected,1.12501,0.8888888888888888
ASH,TICK,Undirected,1.3000099999999999,0.7692307692307693
BARLEY,DRACO,Undirected,1.3529511764705884,0.7391304347826086
BARLEY,JAE-YONG,Undirected,1.3077023076923078,0.7647058823529411
BEA,CHUCK,Undirected,1.2727372727272728,0.7857142857142857
BEA,KENJI,Undirected,1.3500100000000002,0.7407407407407407
BELLE,CLANCY,Undirected,1.1111211111111112,0.9
BELLE,CORDELIUS,Undirected,1.1176570588235295,0.8947368421052632
BELLE,DOUG,Undirected,1.4762004761904763,0.6774193548387096
BELLE,EMZ,Undirected,1.6444544444444444,0.6081081081081081
BELLE,GENE,Undirected,1.40001,0.7142857142857143
BELLE,KENJI,Undirected,1.37501,0.7272727272727273
BELLE,LEON,Undirected,1.4210626315789474,0.7037037037037037
BELLE,LILY,Undirected,1.4074174074074075,0.7105263157894737
BELLE,NANI,Undirected,1.4285814285714287,0.7
BELLE,SURGE,Undirected,1.50001,0.6666666666666666
BERRY,CHUCK,Undirected,1.1111211111111112,0.9
BERRY,DOUG,Undirected,1.4545554545454547,0.6875
BIBI,BO,Undirected,1.5714385714285715,0.6363636363636364
BIBI,CHESTER,Undirected,1.3077023076923078,0.7647058823529411
BIBI,DOUG,Undirected,1.4838809677419356,0.6739130434782609
BIBI,DRACO,Undirected,1.20001,0.8333333333333334
BIBI,JESSIE,Undirected,1.48001,0.6756756756756757
BIBI,KENJI,Undirected,1.28001,0.78125
BIBI,LEON,Undirected,1.4782708695652174,0.6764705882352942
BIBI,SQUEAK,Undirected,1.5384715384615384,0.65
BO,BONNIE,Undirected,1.4516229032258066,0.6888888888888889
BO,CHUCK,Undirected,1.4782708695652174,0.6764705882352942
BO,FANG,Undirected,1.7142957142857143,0.5833333333333334
BO,FRANK,Undirected,1.55001,0.6451612903225806
BO,GENE,Undirected,1.4583433333333333,0.6857142857142857
BO,LEON,Undirected,1.575767575757576,0.6346153846153846
BO,LUMI,Undirected,1.4782708695652174,0.6764705882352942
BO,MR. P,Undirected,1.50001,0.6666666666666666
BONNIE,CORDELIUS,Undirected,1.2857242857142857,0.7777777777777778
BONNIE,DOUG,Undirected,1.4117747058823529,0.7083333333333334
BONNIE,LUMI,Undirected,1.1666766666666668,0.8571428571428571
BONNIE,PEARL,Undirected,1.1111211111111112,0.9
BONNIE,PENNY,Undirected,1.2857242857142857,0.7777777777777778
BONNIE,RICO,Undirected,1.5714385714285715,0.6363636363636364
BONNIE,SPIKE,Undirected,1.4285814285714287,0.7
BROCK,BUSTER,Undirected,1.230779230769231,0.8125
BROCK,CROW,Undirected,1.6379410344827587,0.6105263157894737
BROCK,KENJI,Undirected,1.4594694594594595,0.6851851851851852
BULL,DOUG,Undirected,1.50001,0.6666666666666666
BULL,EMZ,Undirected,1.62501,0.6153846153846154
BULL,JACKY,Undirected,1.372103023255814,0.7288135593220338
BUSTER,CHESTER,Undirected,1.00001,1.0
BUSTER,DOUG,Undirected,1.3333433333333333,0.75
BUSTER,KIT,Undirected,1.00001,1.0
BUSTER,PIPER,Undirected,1.1428671428571429,0.875
BUSTER,SQUEAK,Undirected,1.18751,0.8421052631578947
BUZZ,CROW,Undirected,1.5217491304347828,0.6571428571428571
BUZZ,FANG,Undirected,1.6521839130434783,0.6052631578947368
BYRON,CARL,Undirected,1.44001,0.6944444444444444
BYRON,CROW,Undirected,1.50001,0.6666666666666666
CARL,CHARLIE,Undirected,1.368431052631579,0.7307692307692307
CARL,CHUCK,Undirected,1.3846253846153846,0.7222222222222222
CARL,DARRYL,Undirected,1.5454645454545455,0.6470588235294118
CARL,EDGAR,Undirected,1.7719398245614038,0.5643564356435643
CARL,KAZE,Undirected,1.3333433333333333,0.75
CARL,LARRY & LAWRIE,Undirected,1.37501,0.7272727272727273
CARL,NITA,Undirected,1.5333433333333333,0.6521739130434783
CARL,OLLIE,Undirected,1.00001,1.0
CHARLIE,CORDELIUS,Undirected,1.2142957142857145,0.8235294117647058
CHARLIE,DOUG,Undirected,1.076933076923077,0.9285714285714286
CHARLIE,FANG,Undirected,1.2727372727272728,0.7857142857142857
CHARLIE,GROM,Undirected,1.12501,0.8888888888888888
CHARLIE,HANK,Undirected,1.12501,0.8888888888888888
CHARLIE,JAE-YONG,Undirected,1.00001,1.0
CHARLIE,KAZE,Undirected,1.3571528571428573,0.7368421052631579
CHARLIE,KIT,Undirected,1.12501,0.8888888888888888
CHARLIE,LILY,Undirected,1.3333433333333333,0.75
CHARLIE,LOU,Undirected,1.00001,1.0
CHARLIE,MR. P,Undirected,1.1428671428571429,0.875
CHARLIE,RICO,Undirected,1.18751,0.8421052631578947
CHESTER,CHUCK,Undirected,1.2222322222222222,0.8181818181818182
CHESTER,DARRYL,Undirected,1.4117747058823529,0.7083333333333334
CHESTER,DOUG,Undirected,1.2963062962962963,0.7714285714285715
CHESTER,EMZ,Undirected,1.3157994736842107,0.76
CHESTER,FRANK,Undirected,1.3333433333333333,0.75
CHESTER,HANK,Undirected,1.3077023076923078,0.7647058823529411
CHESTER,KENJI,Undirected,1.388898888888889,0.72
CHESTER,RICO,Undirected,1.3871067741935486,0.7209302325581395
CHESTER,SQUEAK,Undirected,1.4444544444444445,0.6923076923076923
CHUCK,DOUG,Undirected,1.2727372727272728,0.7857142857142857
CHUCK,DYNAMIKE,Undirected,1.3157994736842107,0.76
CHUCK,JESSIE,Undirected,1.3636463636363638,0.7333333333333333
CHUCK,LEON,Undirected,1.2727372727272728,0.7857142857142857
CHUCK,SPIKE,Undirected,1.45001,0.6896551724137931
CLANCY,FRANK,Undirected,1.2727372727272728,0.7857142857142857
COLETTE,COLETTE,Undirected,1.0909190909090911,0.9166666666666666
COLETTE,LARRY & LAWRIE,Undirected,1.181828181818182,0.8461538461538461
COLETTE,PENNY,Undirected,1.5806551612903226,0.6326530612244898
COLT,COLT,Undirected,1.1428671428571429,0.875
COLT,DRACO,Undirected,1.3636463636363638,0.7333333333333333
CORDELIUS,DARRYL,Undirected,1.391314347826087,0.71875
CORDELIUS,DOUG,Undirected,1.3000099999999999,0.7692307692307693
CORDELIUS,JESSIE,Undirected,1.2666766666666667,0.7894736842105263
CORDELIUS,LEON,Undirected,1.3636463636363638,0.7333333333333333
CORDELIUS,MR. P,Undirected,1.40001,0.7142857142857143
CORDELIUS,POCO,Undirected,1.4736942105263158,0.6785714285714286
CORDELIUS,RICO,Undirected,1.4705982352941176,0.68
CORDELIUS,SHADE,Undirected,1.3478360869565218,0.7419354838709677
CORDELIUS,SQUEAK,Undirected,1.50001,0.6666666666666666
CORDELIUS,STU,Undirected,1.4762004761904763,0.6774193548387096
CORDELIUS,TICK,Undirected,1.413803103448276,0.7073170731707317
CROW,DOUG,Undirected,1.5483970967741936,0.6458333333333334
CROW,JACKY,Undirected,1.3077023076923078,0.7647058823529411
CROW,JESSIE,Undirected,1.50001,0.6666666666666666
CROW,KAZE,Undirected,1.50001,0.6666666666666666
CROW,MORTIS,Undirected,1.68001,0.5952380952380952
CROW,RICO,Undirected,1.6200100000000002,0.6172839506172839
DARRYL,FANG,Undirected,1.5362418840579712,0.6509433962264151
DARRYL,KIT,Undirected,1.3636463636363638,0.7333333333333333
DARRYL,LOU,Undirected,1.12501,0.8888888888888888
DARRYL,MAISIE,Undirected,1.2857242857142857,0.7777777777777778
DARRYL,TICK,Undirected,1.6279169767441861,0.6142857142857143
DOUG,DOUG,Undirected,1.00001,1.0
DOUG,EL PRIMO,Undirected,1.50001,0.6666666666666666
DOUG,EMZ,Undirected,1.409100909090909,0.7096774193548387
DOUG,EVE,Undirected,1.00001,1.0
DOUG,FANG,Undirected,1.5490296078431374,0.6455696202531646
DOUG,GALE,Undirected,1.3333433333333333,0.75
DOUG,GROM,Undirected,1.4482858620689656,0.6904761904761905
DOUG,JAE-YONG,Undirected,1.1428671428571429,0.875
DOUG,JESSIE,Undirected,1.4814914814814815,0.675
DOUG,KAZE,Undirected,1.393949393939394,0.717391304347826
DOUG,KENJI,Undirected,1.50001,0.6666666666666666
DOUG,LARRY & LAWRIE,Undirected,1.181828181818182,0.8461538461538461
DOUG,MAISIE,Undirected,1.3043578260869566,0.7666666666666667
DOUG,MAX,Undirected,1.4583433333333333,0.6857142857142857
DOUG,NANI,Undirected,1.1785814285714287,0.8484848484848485
DOUG,PENNY,Undirected,1.28001,0.78125
DOUG,R-T,Undirected,1.25001,0.8
DOUG,RICO,Undirected,1.3965617241379311,0.7160493827160493
DOUG,SANDY,Undirected,1.380962380952381,0.7241379310344828
DOUG,SHADE,Undirected,1.56251,0.64
DOUG,SPIKE,Undirected,1.44001,0.6944444444444444
DOUG,SURGE,Undirected,1.4782708695652174,0.6764705882352942
DRACO,DRACO,Undirected,1.181828181818182,0.8461538461538461
DRACO,PENNY,Undirected,1.40001,0.7142857142857143
DYNAMIKE,LOU,Undirected,1.3846253846153846,0.7222222222222222
EDGAR,GRIFF,Undirected,1.7368521052631578,0.5757575757575758
EDGAR,JESSIE,Undirected,1.7985174626865672,0.5560165975103735
EDGAR,JUJU,Undirected,1.3478360869565218,0.7419354838709677
EDGAR,KENJI,Undirected,1.723694210526316,0.5801526717557252
