brawler,Weighted Betweenness Centrality,Change in Weighted Betweenness Centrality
SHELLY,0.09256661991584854,-0.000738700091151524
COLT,0.03179055633473586,0.0004891510665734049
BULL,0.03412809724170173,-0.00026605445721556917
BROCK,0.010986442262739598,0.0002733780597765547
RICO,0.0065451145395044414,0.00017062900892091289
SPIKE,0.0009350163627863488,0.00010127339959335215
BARLEY,0.07971014492753624,0.0005174070555587062
JESSIE,0.001402524544179523,0.00017062900892091289
NITA,0.0474520804114072,0.00041465800470306263
DYNAMIKE,0.060542309490416085,-0.0006462259453814487
EL PRIMO,0.05306217858812529,0.0006329997377713045
MORTIS,0.03272557269752221,0.00059960629624322
CROW,0.0,9.099849450778554e-05
POCO,0.06334735857877513,0.0001783351877350861
BO,0.016830294530154277,0.00032475258520437734
PIPER,0.006077606358111267,0.00021686608180595222
PAM,0.12459093034128098,0.0006715306318421706
TARA,0.0037400654511453952,0.00010897957840752537
DARRYL,0.0,0.00010641085213613545
PENNY,0.0,6.017377925109611e-05
FRANK,0.0007012622720897616,0.00010641085213613545
GENE,0.07035998129967275,-8.624361821819512e-05
TICK,0.03342683496961197,-0.000340547519085908
LEON,0.002571294997662459,0.00011925448349309024
ROSA,0.04254324450677887,0.00027594678604794635
CARL,0.002805049088359046,0.00015007919874978487
BIBI,0.002337540906965872,0.00013466684112143495
8-BIT,0.03459560542309491,0.0004429139936883656
SANDY,0.0032725572697522207,3.6618012804919e-06
BEA,0.04184198223468911,0.0004711699826736686
EMZ,0.0,0.00018090391400647603
MR. P,0.0,5.760505297970446e-05
MAX,0.0091164095371669,0.00022970971316290702
JACKY,0.0091164095371669,0.00018861009282064925
GALE,0.009817671809256662,0.00017062900892091289
NANI,0.017064048620850866,0.00023227843943429693
SPROUT,0.023609163160355308,0.00016549155637812958
SURGE,0.012155212716222535,0.00015007919874978314
COLETTE,0.0021037868162692847,0.00011154830467891876
AMBER,0.02337540906965872,-0.0005332019894402403
LOU,0.0,0.00046860125640227346
BYRON,0.04791958859280038,0.0002862216911335095
EDGAR,0.009817671809256662,0.0002862216911335095
RUFFS,0.002571294997662459,-1.6888008890634382e-05
STU,0.12739597942964004,0.0011981195174773362
BELLE,0.031323048153342685,-0.000515220905540504
SQUEAK,0.009583917718560075,0.0001911788190920409
GROM,0.0002337540906965872,0.00012952938857865165
BUZZ,0.0,-8.881234448958678e-05
GRIFF,0.0018700327255726976,0.00011668575722169859
ASH,0.0009350163627863488,0.00011925448349309024
MEG,0.0018700327255726976,6.531123179387768e-05
LOLA,0.004675081813931744,3.9623969079968097e-05
FANG,0.004908835904628331,6.531123179387942e-05
EVE,0.0,0.00046860125640227346
JANET,0.0,0.00046860125640227346
BONNIE,0.0,8.329231569361578e-05
OTIS,0.0,-4.771272414733074e-05
SAM,0.005376344086021506,0.00011411703095030694
GUS,0.0021037868162692847,0.0001783351877350861
BUSTER,0.0,-0.0001324806911032362
CHESTER,0.01846657316503039,-0.0005922826936822327
GRAY,0.005142589995324918,9.613594705056884e-05
MANDY,0.0002337540906965872,6.230527551883552e-06
R-T,0.0,5.7605052979702726e-05
WILLOW,0.0,0.00010897957840752537
MAISIE,0.0018700327255726976,0.00012952938857865512
HANK,0.006778868630201029,0.0001423730199356099
CORDELIUS,0.0,0.00046860125640227346
DOUG,0.0,0.00046860125640227346
PEARL,0.0,-0.00015816795381714752
CHUCK,0.0,5.2467600436921155e-05
CHARLIE,0.0,0.00046860125640227346
MICO,0.0,0.00046860125640227346
KIT,0.003506311360448808,8.58610419650057e-05
LARRY & LAWRIE,0.0,-0.00016330540635992215
MELODIE,0.009583917718560075,4.476142162274967e-05
ANGELO,0.0021037868162692847,1.6505432637446693e-05
DRACO,0.0,0.00046860125640227346
LILY,0.0,-0.00014532432246018925
BERRY,0.0021037868162692847,0.0001423730199356099
CLANCY,0.0,3.448651653718479e-05
MOE,0.021037868162692847,-0.00055632052588276
KENJI,0.0,5.2467600436924625e-05
SHADE,0.003506311360448808,8.799253823275205e-06
JUJU,0.0,5.2467600436921155e-05
MEEPLE,0.0,6.531123179387942e-05
OLLIE,0.0,0.00046860125640227346
LUMI,0.0009350163627863488,8.329231569361405e-05
FINX,0.0030388031790556337,0.00010127339959335215
JAE-YONG,0.0,0.00046860125640227693
KAZE,0.0,0.00046860125640227693
ALLI,0.0,0.00046860125640227693
TRUNK,0.0,0.00046860125640227693
