Source,Target,Wins,Loses,Observations
8-BIT,AMBER,23,38,61
8-BIT,BARLEY,40,60,100
8-BIT,BYRON,39,58,97
8-BIT,EDGAR,181,215,396
8-BIT,GALE,14,28,42
8-BIT,GENE,12,23,35
8-BIT,GRIFF,32,55,87
8-BIT,LOU,13,26,39
8-BIT,NANI,28,46,74
8-BIT,PIPER,68,92,160
ALLI,RICO,54,81,135
AMBER,BARLEY,21,46,67
AMBER,MAX,15,27,42
AMBER,RICO,41,61,102
AMBER,SHELLY,20,37,57
ANGELO,JAE-YONG,6,20,26
ANGELO,SHELLY,12,31,43
ANGELO,SPIKE,44,63,107
ANGELO,WILLOW,2,20,22
ASH,BONNIE,9,19,28
ASH,MEG,2,11,13
ASH,PAM,6,21,27
ASH,PIPER,17,30,47
BARLEY,BEA,37,57,94
BARLEY,BO,61,116,177
BARLEY,BROCK,71,126,197
BARLEY,BULL,42,64,106
BARLEY,BUSTER,13,25,38
BARLEY,BYRON,22,40,62
BARLEY,COLT,68,116,184
BARLEY,DYNAMIKE,74,135,209
BARLEY,EL PRIMO,48,127,175
BARLEY,EMZ,79,111,190
BARLEY,GENE,14,47,61
BARLEY,GRIFF,40,61,101
BARLEY,GROM,47,70,117
BARLEY,HANK,12,35,47
BARLEY,JESSIE,51,91,142
BARLEY,JUJU,11,24,35
BARLEY,NANI,22,49,71
BARLEY,NITA,52,118,170
BARLEY,PAM,27,51,78
BARLEY,POCO,34,82,116
BARLEY,RICO,65,109,174
BARLEY,ROSA,13,41,54
BARLEY,SHELLY,43,98,141
BARLEY,STU,29,67,96
BEA,BELLE,73,108,181
BEA,BERRY,23,41,64
BEA,BIBI,37,63,100
BEA,BROCK,110,151,261
BEA,BULL,25,55,80
BEA,BUZZ,21,43,64
BEA,DARRYL,34,53,87
BEA,DYNAMIKE,119,157,276
BEA,EDGAR,185,241,426
BEA,EL PRIMO,41,67,108
BEA,FINX,6,17,23
BEA,GALE,17,30,47
BEA,GENE,32,51,83
BEA,HANK,11,30,41
BEA,JACKY,19,37,56
BEA,MAX,34,54,88
BEA,MORTIS,111,144,255
BEA,PAM,16,53,69
BEA,PEARL,11,26,37
BEA,PENNY,36,59,95
BEA,PIPER,157,199,356
BEA,POCO,24,47,71
BEA,ROSA,13,30,43
BEA,SHADE,22,43,65
BEA,STU,38,86,124
BEA,TARA,30,61,91
BELLE,BROCK,130,169,299
BELLE,BUSTER,5,19,24
BELLE,COLT,103,158,261
BELLE,DARRYL,40,61,101
BELLE,GENE,26,43,69
BELLE,JANET,13,27,40
BELLE,SHADE,21,36,57
BELLE,SHELLY,25,53,78
BELLE,TARA,32,68,100
BERRY,BROCK,41,60,101
BERRY,COLT,41,67,108
BERRY,MAX,16,29,45
BERRY,PIPER,26,43,69
BERRY,POCO,13,28,41
BIBI,BROCK,50,76,126
BIBI,MAISIE,27,42,69
BIBI,NANI,18,34,52
BIBI,NITA,41,61,102
BIBI,PAM,10,37,47
BIBI,PIPER,48,89,137
BIBI,ROSA,11,28,39
BIBI,SPROUT,15,27,42
BO,COLT,126,168,294
BO,EMZ,136,168,304
BO,GENE,18,34,52
BO,JACKY,36,53,89
BO,NANI,32,51,83
BO,PAM,25,40,65
BO,RUFFS,3,11,14
BO,SHELLY,46,77,123
BO,STU,49,80,129
BONNIE,CLANCY,3,13,16
BONNIE,COLT,42,76,118
BONNIE,EL PRIMO,15,34,49
BONNIE,GENE,20,38,58
BONNIE,PAM,6,21,27
BONNIE,POCO,12,31,43
BONNIE,ROSA,7,20,27
BONNIE,SHELLY,10,35,45
BONNIE,STU,20,37,57
BROCK,BULL,56,78,134
BROCK,BYRON,79,115,194
BROCK,CARL,71,114,185
BROCK,COLT,164,237,401
BROCK,DOUG,55,76,131
BROCK,EL PRIMO,59,122,181
BROCK,EMZ,133,174,307
BROCK,FRANK,85,113,198
BROCK,GALE,32,55,87
BROCK,GENE,29,49,78
BROCK,GRIFF,84,113,197
BROCK,JACKY,33,79,112
BROCK,JAE-YONG,12,29,41
BROCK,LEON,79,133,212
BROCK,LOLA,10,27,37
BROCK,MAISIE,32,56,88
BROCK,MANDY,288,332,620
BROCK,MELODIE,20,41,61
BROCK,MORTIS,201,239,440
BROCK,NITA,79,126,205
BROCK,PAM,17,52,69
BROCK,POCO,53,97,150
BROCK,ROSA,21,36,57
BROCK,RUFFS,4,22,26
BROCK,SANDY,60,84,144
BROCK,SHELLY,49,119,168
BROCK,SPROUT,28,58,86
BROCK,STU,64,86,150
BROCK,TARA,58,86,144
BROCK,TICK,163,211,374
BROCK,WILLOW,12,28,40
BULL,FINX,2,10,12
BULL,GENE,10,24,34
BULL,GRIFF,47,69,116
BULL,LARRY & LAWRIE,7,23,30
BULL,MEEPLE,13,24,37
BULL,MOE,4,12,16
BULL,NANI,7,39,46
BULL,PAM,13,53,66
BULL,PIPER,33,69,102
BULL,POCO,30,50,80
BULL,ROSA,16,41,57
BULL,STU,32,66,98
BUSTER,HANK,3,10,13
BUZZ,BYRON,16,38,54
BUZZ,COLT,51,72,123
BUZZ,CROW,30,48,78
BUZZ,DYNAMIKE,94,124,218
BUZZ,FANG,64,89,153
BUZZ,GROM,25,47,72
BUZZ,KIT,37,54,91
BUZZ,PAM,3,10,13
BUZZ,RUFFS,3,11,14
BYRON,COLT,74,104,178
BYRON,FRANK,35,64,99
BYRON,GRIFF,44,63,107
BYRON,HANK,11,33,44
BYRON,JESSIE,25,45,70
BYRON,MICO,31,49,80
BYRON,POCO,26,47,73
BYRON,SHELLY,19,47,66
BYRON,STU,25,48,73
BYRON,TARA,27,49,76
CARL,CHESTER,22,37,59
CARL,COLT,75,120,195
CARL,FANG,72,109,181
CARL,NANI,23,40,63
CARL,PAM,12,33,45
CARL,POCO,25,48,73
CARL,SPROUT,7,25,32
CHESTER,SHELLY,21,36,57
CHUCK,ROSA,2,10,12
COLETTE,POCO,59,81,140
COLETTE,WILLOW,17,39,56
COLT,DYNAMIKE,268,351,619
COLT,EDGAR,445,607,1052
COLT,EL PRIMO,96,158,254
COLT,EMZ,125,174,299
COLT,FANG,246,305,551
COLT,FINX,10,23,33
COLT,FRANK,157,193,350
COLT,GALE,33,66,99
COLT,GENE,26,69,95
COLT,GRAY,45,68,113
COLT,GRIFF,75,123,198
COLT,GROM,99,142,241
COLT,HANK,29,50,79
COLT,JACKY,42,64,106
COLT,KIT,95,139,234
COLT,LARRY & LAWRIE,21,41,62
COLT,MANDY,298,363,661
COLT,MAX,51,85,136
COLT,MEEPLE,22,42,64
COLT,MORTIS,290,423,713
COLT,PAM,47,69,116
COLT,PENNY,85,109,194
COLT,PIPER,248,319,567
COLT,POCO,59,82,141
COLT,RICO,188,245,433
COLT,ROSA,31,53,84
COLT,SANDY,69,99,168
COLT,SHADE,46,77,123
COLT,SHELLY,70,127,197
COLT,SPIKE,129,183,312
COLT,SQUEAK,102,157,259
COLT,STU,76,102,178
COLT,TARA,53,85,138
COLT,TICK,137,183,320
CROW,NANI,42,63,105
CROW,PAM,16,36,52
DARRYL,GENE,21,35,56
DARRYL,SPROUT,14,28,42
DRACO,DRACO,4,14,18
DYNAMIKE,EDGAR,548,683,1231
DYNAMIKE,EMZ,164,245,409
DYNAMIKE,MORTIS,504,702,1206
DYNAMIKE,NANI,51,73,124
DYNAMIKE,PIPER,214,315,529
DYNAMIKE,SURGE,117,169,286
EDGAR,EL PRIMO,205,264,469
EDGAR,FANG,597,662,1259
EDGAR,FRANK,299,392,691
EDGAR,GRAY,88,118,206
EDGAR,KIT,250,312,562
EDGAR,LEON,206,274,480
EDGAR,MAISIE,73,102,175
EDGAR,MAX,97,127,224
EDGAR,MORTIS,595,696,1291
EDGAR,NANI,107,149,256
EDGAR,NITA,171,220,391
EDGAR,PAM,36,67,103
EDGAR,PIPER,498,628,1126
