brawler,Weighted Betweenness Centrality,Change in Weighted Betweenness Centrality
SHELLY,0.0,-1.5543353923587304
COLT,0.0,-1.887668725692059
BULL,1.0,-0.7263784031114184
BROCK,3.0,-0.9414321665522749
RICO,49.0,0.037062457103637314
SPIKE,28.0,-0.3500343170899143
BARLEY,12.0,-1.2102493708533544
JESSIE,161.0,0.714481811942342
NITA,37.0,-0.44680851063829863
DYNAMIKE,2.0,-1.2532601235415228
EL PRIMO,5.0,-0.7263784031114184
MORTIS,0.0,-1.0059482955845382
CROW,89.0,0.08007320979180577
POCO,0.0,-1.2102493708533544
BO,31.0,-0.4145504461221705
PIPER,14.0,-0.8661633493479783
PAM,0.0,-1.8984214138641065
TARA,32.0,-0.5865934568748585
DARRYL,18.0,-0.4145504461221705
PENNY,100.0,0.29512697323266934
FRANK,34.0,-0.47906657515442674
GENE,1.0,-1.1672386181651788
TICK,4.0,-0.629604209563027
LEON,60.0,-0.2425074353694825
ROSA,0.0,0.6822237474262138
CARL,116.0,-0.09196980096088225
BIBI,69.0,-0.25326012354152283
8-BIT,0.0,0.6822237474262138
SANDY,2.0,-0.6833676504232429
BEA,0.0,-1.113475177304963
EMZ,11.0,-0.5543353923587304
MR. P,35.0,-0.5113246396705549
MAX,3.0,-0.7693891557995869
JACKY,54.5,-0.44680851063829863
GALE,0.0,-0.8123999084877624
NANI,56.0,-0.6403568977350744
SPROUT,0.0,0.6822237474262138
SURGE,0.0,-0.7693891557995869
COLETTE,0.0,-1.113475177304963
AMBER,73.0,-0.5113246396705549
LOU,52.0,-0.8769160375200187
BYRON,0.0,-1.145733241821091
EDGAR,11.0,-0.45756119881033896
RUFFS,0.0,-1.1887439945092666
STU,0.0,-1.1242278654770104
BELLE,166.0,0.5639441775337488
SQUEAK,11.0,-0.5758407687028182
GROM,3.0,-0.5543353923587304
BUZZ,0.0,-1.1672386181651788
GRIFF,14.0,-0.6511095859071148
ASH,123.0,-0.40379775795012307
MEG,0.0,0.6822237474262138
LOLA,6.0,-1.2425074353694825
FANG,53.0,-0.027453671928618917
EVE,135.0,-0.44680851063829863
JANET,0.0,-1.5543353923587304
BONNIE,119.0,0.17684740334019722
OTIS,0.0,0.6822237474262138
SAM,11.0,-1.1242278654770104
GUS,33.0,-0.45756119881033896
BUSTER,166.0,-0.2425074353694825
CHESTER,168.0,-0.17799130633722626
GRAY,11.0,-1.0382063601006664
MANDY,10.0,-0.8769160375200187
R-T,73.0,-0.5328300160146426
WILLOW,0.0,-1.4145504461221705
MAISIE,15.0,-0.6511095859071148
HANK,35.0,-0.6403568977350744
CORDELIUS,216.5,0.6929764355982613
DOUG,1045.0,7.9295355753832055
PEARL,147.0,-3.425303134294211
CHUCK,161.0,0.27362159688858156
CHARLIE,338.0,0.18760009151223755
MICO,5.0,-1.403797757950123
KIT,335.0,-4.640356897735074
LARRY & LAWRIE,176.0,0.284374285060629
MELODIE,5.0,-1.0812171127888348
ANGELO,29.0,-0.543582704186683
DRACO,96.0,-3.4683138869823864
LILY,18.0,-0.7586364676275466
BERRY,0.0,-0.7801418439716343
CLANCY,2.0,-1.1672386181651788
MOE,0.0,0.6822237474262138
KENJI,182.0,0.5531914893617014
SHADE,17.0,-0.5220773278426023
JUJU,43.0,-0.7586364676275466
MEEPLE,39.0,-0.6080988332189463
OLLIE,19.0,-0.8984214138641065
LUMI,3.0,-0.9199267902081942
FINX,9.0,-1.1349805536490507
JAE-YONG,311.0,1.3488904140928852
KAZE,286.0,-0.6941203385952903
ALLI,166.0,-2.1779913063372263
TRUNK,0.0,0.6822237474262138
