Source,Target,Wins,Loses,Observations
8-BIT,8-BIT,17,3,20
8-BIT,BUSTER,28,16,44
8-BIT,CHARLIE,37,15,52
8-BIT,MEEPLE,63,43,106
8-BIT,MELODIE,44,23,67
ALLI,ALLI,39,21,60
ALLI,AMBER,84,58,142
ALLI,ANGELO,76,56,132
ALLI,BERRY,98,49,147
ALLI,BONNIE,95,55,150
ALLI,CHARLIE,64,33,97
ALLI,CHUCK,74,33,107
ALLI,CLANCY,33,20,53
ALLI,COLETTE,259,192,451
ALLI,CROW,132,98,230
ALLI,DOUG,95,49,144
ALLI,DRACO,66,39,105
ALLI,FINX,70,29,99
ALLI,GRAY,101,53,154
ALLI,GRIFF,98,75,173
ALLI,GROM,155,80,235
ALLI,HANK,71,42,113
ALLI,JAE-YONG,81,35,116
ALLI,JESSIE,98,74,172
ALLI,KAZE,197,89,286
ALLI,KENJI,123,62,185
ALLI,LARRY & LAWRIE,72,46,118
ALLI,LOLA,54,26,80
ALLI,LUMI,74,54,128
ALLI,MANDY,232,183,415
ALLI,MEEPLE,83,45,128
ALLI,MEG,69,46,115
ALLI,MELODIE,82,37,119
ALLI,MICO,71,51,122
ALLI,MOE,52,18,70
ALLI,MR. P,75,44,119
ALLI,NANI,83,60,143
ALLI,OLLIE,38,22,60
ALLI,PEARL,62,23,85
ALLI,PENNY,102,65,167
ALLI,R-T,50,25,75
ALLI,ROSA,33,16,49
ALLI,RUFFS,22,10,32
ALLI,SHADE,152,116,268
ALLI,SQUEAK,164,129,293
ALLI,STU,83,59,142
ALLI,TARA,101,64,165
AMBER,BO,168,116,284
AMBER,BONNIE,74,53,127
AMBER,CARL,90,68,158
AMBER,CHESTER,68,42,110
AMBER,CHUCK,56,36,92
AMBER,COLETTE,184,130,314
AMBER,CORDELIUS,76,55,131
AMBER,CROW,145,97,242
AMBER,DOUG,71,37,108
AMBER,DRACO,52,35,87
AMBER,FINX,33,19,52
AMBER,FRANK,120,85,205
AMBER,JAE-YONG,54,36,90
AMBER,KIT,115,88,203
AMBER,LOU,44,28,72
AMBER,MEG,60,35,95
AMBER,MICO,52,32,84
AMBER,SAM,22,11,33
ANGELO,BONNIE,100,61,161
ANGELO,BUSTER,26,13,39
ANGELO,COLETTE,146,109,255
ANGELO,GRAY,101,62,163
ANGELO,GROM,112,84,196
ANGELO,JUJU,39,21,60
ANGELO,KAZE,72,48,120
ANGELO,MANDY,245,199,444
ANGELO,MR. P,92,55,147
ANGELO,NANI,95,72,167
ASH,BO,75,53,128
ASH,CHARLIE,23,8,31
ASH,CORDELIUS,57,33,90
ASH,DOUG,27,10,37
ASH,EDGAR,92,67,159
ASH,JAE-YONG,20,10,30
ASH,JANET,28,8,36
ASH,KAZE,66,32,98
ASH,KENJI,51,24,75
ASH,KIT,48,25,73
ASH,LILY,44,25,69
ASH,LOU,36,18,54
ASH,MELODIE,22,8,30
ASH,MOE,13,5,18
ASH,SPROUT,23,12,35
ASH,TARA,54,37,91
BEA,BONNIE,167,132,299
BELLE,BONNIE,206,155,361
BELLE,CHESTER,87,65,152
BELLE,CHUCK,73,51,124
BELLE,COLETTE,254,185,439
BELLE,DRACO,77,52,129
BELLE,GRAY,190,155,345
BELLE,GROM,243,190,433
BELLE,JESSIE,176,142,318
BELLE,KAZE,193,122,315
BELLE,SPROUT,92,63,155
BERRY,BERRY,29,16,45
BERRY,BIBI,137,78,215
BERRY,BULL,120,93,213
BERRY,BUZZ,56,37,93
BERRY,CHARLIE,67,44,111
BERRY,CHESTER,60,39,99
BERRY,CHUCK,74,44,118
BERRY,COLETTE,169,123,292
BERRY,DARRYL,105,74,179
BERRY,GRAY,63,42,105
BERRY,HANK,68,48,116
BERRY,KENJI,97,65,162
BERRY,MELODIE,65,37,102
BERRY,R-T,49,28,77
BIBI,CHARLIE,63,42,105
BIBI,CORDELIUS,143,91,234
BIBI,CROW,160,105,265
BIBI,DOUG,132,76,208
BIBI,DRACO,81,54,135
BIBI,FRANK,222,179,401
BIBI,GRIFF,138,104,242
BIBI,GUS,92,68,160
BIBI,JANET,88,38,126
BIBI,KIT,122,95,217
BO,BO,15,4,19
BO,BONNIE,158,120,278
BO,BULL,189,142,331
BO,BUSTER,67,45,112
BO,CHESTER,137,95,232
BO,CLANCY,66,44,110
BO,CORDELIUS,191,131,322
BO,CROW,419,311,730
BO,DARRYL,209,175,384
BO,DOUG,183,98,281
BO,DRACO,119,91,210
BO,FANG,700,583,1283
BO,FINX,53,36,89
BO,GRIFF,275,229,504
BO,JAE-YONG,86,64,150
BO,JANET,95,71,166
BO,KAZE,215,129,344
BO,KENJI,269,212,481
BO,LEON,201,150,351
BO,LILY,379,279,658
BO,MAISIE,91,66,157
BO,MANDY,616,556,1172
BO,MEG,73,42,115
BO,MELODIE,98,73,171
