Player_Tag,Total_Trophies
#LJR2CG2VU,92790
#2YQPUPGP0P,10960
#2L0VJCC99C,24333
#RYLL0GCJG,21056
#PU20QJJGJ,67745
#22U2J9PY,5393
#GCG29L8CG,26915
#22890QP9UU,51564
#2R0QG802QQ,19032
#PPCJJ0LYL,66742
#2J9LQYL0YJ,6826
#PQC989UUJ,42992
#2RG2V8GYUV,15579
#2JGP9RJY9,38523
#9RGY2VQGY,11808
#LYVCG8PUU,9619
#2J9UQGUG9C,9559
#Q2C8JYGV0,20532
#GGJCLGJ9Y,28895
#L929V0289,45597
#RYPPL0QLY,34563
#Y2VPU00L,39345
#VUGVQ0YG2,25636
#P0GUYUC8V,96534
#CP8YUPVV,58501
#9098LRL8Y,7135
#YC2YCGULR,49517
#2JUUCQUJU,43831
#2L8YULJ9QP,48694
#228202GR80,2848
#Y9PRYV8RC,18836
#GLRJUC22,39329
#2PCGY8GLU,27755
#9R8VQPC9,79275
#2Q2GGLGPLV,12692
#V9GCYYY92,26288
#JGQCC08GC,42119
#9Y8UL0YLP,34652
#2QLYVQU920,21522
#Q22JYYLY,38375
#2QUJGRCR9U,9730
#2JLPR92P9Q,5607
#GRGPGUJU,40110
#GL2CYPLGP,10025
#YC0CRJ2LV,18316
#2R92VCRQLU,21918
#20RLJY0YG,17660
#GR9G20QLJ,12331
#20CPGC2U0Y,26075
#2C8PPLUULJ,2028
#2L22C9YGV9,40203
#LUU2Y80LU,44573
#8UQJ0Y29Q,61753
#288VVGQ22Q,63908
#2QRC99YRRQ,6112
#2JP2V8Y0U9,3234
#PJ029PP02,47262
#Y8Q29V8L0,38600
#R98URRQ,48546
#88JCUJR20,30959
#80RGY8RJ,59373
#RPJCVPP92,6090
#2JRGJPUCRP,6728
#2L80U9CQ2Y,29200
#PQ0L0G0R9,12473
#PCJJ8VUUG,20507
#2JQL0RJG8P,4297
#LU0CUL0Q0,48974
#PCLR2V8Y9,57855
#V9VQQJPR,93196
#2QLJQJ2V8V,9311
#Q9PRRRQ8,47590
#2J09YP9UYJ,32404
#PQJRUCGG2,2811
#2L0RJ9GG0G,14373
#GRYLYC8PG,26851
#2LGG0QCUGU,66036
#2RUL2R2RRL,9108
#2JPULGG80R,6878
#8C2QRGLG,64573
#2Y0PLPCV,24610
#RYJ2JJGPP,33928
#2QUL980200,3416
#LCCRQ8C9,37749
#UJQQULVR,48348
#2C802VCPQ8,3597
#GP29RPL8Q,50209
#YVLRVV2Y9,3222
#PPC9JRGRY,20210
#8JYUQCV0U,20932
#2UPYC2VLY,9898
#8Y29JCQVG,13855
#2J0RJR0GLP,18126
#8QPYCLCVL,68652
#2RCLY2JQ2J,7897
#LYVVRGRV8,44786
#GJP9VR8U0,21455
#2LUU2Q99R,60334
#2C8L890,84848
#2JVQPVQ2VG,3223
#P0V2ULLC,49213
#9CLGCRLY2,42249
#2RCGVPPV2U,39252
#988LC0UGV,18138
#9YGCVVGC9,45003
#GLQ9LGVCP,38701
#YVP0Y9QUU,24650
#C0PCY9G8,42313
#9VJ92PC82,27870
#2JR8V0P8R,38718
#28999RV0YJ,26205
#RY8CGLGRU,15438
#Y8CRJ9890,35940
#2C892L8UQR,1572
#8C2JCGCVQ,23484
#2UG8GQQGP,28957
#PV9UVR8GG,35195
#2J0ULRJLQC,22164
#LCPG9PVJY,18982
#8298909CL,47536
#2JGJCPJQ8R,17221
#8JU0VG2VJ,6912
#GPVC9CGP,57506
#2LVRVCQCVL,2040
#2C9000QUY8,2307
#2Q0YRLLVPU,24063
#9U900QLUU,19913
#8YUCC8Y08,33581
#2GCQG8JRU,46455
#PLPR28CYQ,64402
#8UV0CQ8RP,20041
#8RQPQR2JR,31903
#2LC0YJ9GYL,19929
#Q920QQL9R,38504
#Y8C9P82PY,25775
#2JJ8VR0GR8,6501
#YYCVLYQ0V,39516
#2GRGLV9Q0P,5720
#R82JJCC2U,27585
#2GURGC9JY8,21119
#ULGPG82Q,17318
#2C8JJ0J0J,3494
#2RV99YVPQR,1969
#2Q8998UCR9,10866
#8LG80QJCU,26127
#9UUY8LJRC,77796
#9LQVULQGR,27307
#22QGY88PJ2,27710
#QPV022R9P,18634
#9UV8VUVUQ,106977
#2YURCVG0JG,39696
#RC0YPUPP0,26711
#98LV09LQY,56053
#20CVQG0UG,51838
#YVLLP8098,32248
#G9JU9CPC,20550
#2C8GVC8C90,4553
#JC2Q88GRL,23890
#YGLCU8PVP,2781
#PC8QJU9L2,36091
#GQQ0988UG,56213
#989G0Q2GG,47208
#LJGLUUVGJ,28633
#VL09QGV9,26850
#G0QU0Q8Y9,21334
#GG8QCGLG9,24894
#Q82VPYCP,90845
#2LPLCLL9Q,49442
#2LLQQJQGLG,22452
#2GLGYCRQG,66917
#LJLVJVP8J,20519
#2YCUJPCQV,28334
#YYPVG9RU2,25000
#2JYCR8LRJ8,12845
#Y0J8GY20,39902
#9PGJRYU08,27590
#CL8RGR9Q9,21472
#88VJPJUQP,74079
#2Y92V20LU,7515
#2J9LU8U20G,8790
#22P22VCP98,25263
#VRJL8890,32070
#2GVJPQCP9C,22225
#2C98GULY89,1752
#80LRCGG2J,74147
#JL9R0C9PG,2241
#Q908VJQQY,40290
#P0VPLU90U,23110
#P98LQJRYR,28627
