Brawler_1,Brawler_2,Weight
8-BIT,8-BIT,14
8-BIT,ALLI,40
8-BIT,AMBER,23
8-BIT,ANGELO,21
8-BIT,ASH,11
8-BIT,BARLEY,40
8-BIT,BEA,34
8-BIT,BELLE,67
8-BIT,BERRY,31
8-BIT,BIBI,42
8-BIT,BO,63
8-BIT,BONNIE,26
8-BIT,BROCK,63
8-BIT,BULL,35
8-BIT,BUSTER,18
8-BIT,BUZZ,24
8-BIT,BYRON,39
8-BIT,CARL,45
8-BIT,CHARLIE,17
8-BIT,CHESTER,21
8-BIT,CHUCK,27
8-BIT,CLANCY,15
8-BIT,COLETTE,101
8-BIT,COLT,107
8-BIT,CORDELIUS,14
8-BIT,CROW,53
8-BIT,DARRYL,55
8-BIT,DOUG,27
8-BIT,DRACO,13
8-BIT,DYNAMIKE,102
8-BIT,EDGAR,181
8-BIT,EL PRIMO,49
8-BIT,EMZ,68
8-BIT,EVE,8
8-BIT,FANG,107
8-BIT,FINX,12
8-BIT,FRANK,82
8-BIT,GALE,14
8-BIT,GENE,12
8-BIT,GRAY,26
8-BIT,GRIFF,32
8-BIT,GROM,45
8-BIT,GUS,54
8-BIT,HANK,19
8-BIT,JACKY,21
8-BIT,JAE-YONG,14
8-BIT,JANET,24
8-BIT,JESSIE,40
8-BIT,JUJU,10
8-BIT,KAZE,28
8-BIT,KENJI,31
8-BIT,KIT,31
8-BIT,LARRY & LAWRIE,20
8-BIT,LEON,40
8-BIT,LILY,36
8-BIT,LOLA,8
8-BIT,LOU,13
8-BIT,LUMI,13
8-BIT,MAISIE,27
8-BIT,MANDY,112
8-BIT,MAX,23
8-BIT,MEEPLE,24
8-BIT,MEG,18
8-BIT,MELODIE,18
8-BIT,MICO,7
8-BIT,MOE,18
8-BIT,MORTIS,71
8-BIT,MR. P,21
8-BIT,NANI,28
8-BIT,NITA,44
8-BIT,OLLIE,14
8-BIT,OTIS,5
8-BIT,PAM,32
8-BIT,PEARL,15
8-BIT,PENNY,41
8-BIT,PIPER,68
8-BIT,POCO,31
8-BIT,R-T,6
8-BIT,RICO,61
8-BIT,ROSA,21
8-BIT,RUFFS,4
8-BIT,SAM,6
8-BIT,SANDY,36
8-BIT,SHADE,28
8-BIT,SHELLY,34
8-BIT,SPIKE,71
8-BIT,SPROUT,14
8-BIT,SQUEAK,75
8-BIT,STU,28
8-BIT,SURGE,27
8-BIT,TARA,43
8-BIT,TICK,78
8-BIT,WILLOW,13
ALLI,ALLI,20
ALLI,AMBER,44
ALLI,ANGELO,36
ALLI,ASH,24
ALLI,BARLEY,55
ALLI,BEA,65
ALLI,BELLE,43
ALLI,BERRY,39
ALLI,BIBI,50
ALLI,BO,66
ALLI,BONNIE,46
ALLI,BROCK,54
ALLI,BULL,27
ALLI,BUSTER,20
ALLI,BUZZ,33
ALLI,BYRON,50
ALLI,CARL,45
ALLI,CHARLIE,17
ALLI,CHESTER,48
ALLI,CHUCK,41
ALLI,CLANCY,16
ALLI,COLETTE,118
ALLI,COLT,74
ALLI,CORDELIUS,33
ALLI,CROW,74
ALLI,DARRYL,43
ALLI,DOUG,69
ALLI,DRACO,30
ALLI,DYNAMIKE,99
ALLI,EDGAR,201
ALLI,EL PRIMO,38
ALLI,EMZ,74
ALLI,EVE,18
ALLI,FANG,86
ALLI,FINX,35
ALLI,FRANK,66
ALLI,GALE,37
ALLI,GENE,28
ALLI,GRAY,35
