Source,Target,Weight
CHESTER,JESSIE,1
CHESTER,MORTIS,3
CHESTER,KIT,1
CHESTER,NITA,1
CHESTER,BYRON,1
CHESTER,EDGAR,3
CHESTER,LEON,1
CHESTER,BROCK,1
CHESTER,FRANK,1
CHESTER,BULL,2
CHESTER,SANDY,2
CHESTER,BO,1
CHESTER,BUSTER,1
CHESTER,JUJU,1
CHESTER,MAX,1
CHESTER,GUS,1
CHESTER,SQUEAK,1
CHESTER,EMZ,1
JESSIE,MORTIS,5
JESSIE,DOUG,3
JESSIE,RUFFS,1
JESSIE,CROW,2
JESSIE,R-T,1
JESSIE,BERRY,2
JESSIE,CARL,1
JESSIE,DYNAMIKE,5
JESSIE,EDGAR,5
JESSIE,POCO,1
JESSIE,FANG,1
JESSIE,KAZE,1
JESSIE,BIBI,1
JESSIE,LEON,1
JESSIE,WILLOW,1
JESSIE,SPIKE,1
JESSIE,SQUEAK,2
JESSIE,BO,5
JESSIE,RICO,2
JESSIE,BEA,1
JESSIE,MEEPLE,1
JESSIE,TICK,2
JESSIE,8-BIT,2
JESSIE,PIPER,2
JESSIE,BUZZ,2
JESSIE,PAM,1
JESSIE,BONNIE,3
JESSIE,EMZ,1
JESSIE,ALLI,1
JESSIE,MAX,2
JESSIE,SHADE,1
JESSIE,NITA,2
JESSIE,COLETTE,2
JESSIE,JACKY,1
JESSIE,SANDY,2
JESSIE,AMBER,1
JESSIE,SURGE,1
JESSIE,KENJI,3
JESSIE,OLLIE,1
JESSIE,JANET,1
JESSIE,PENNY,1
JESSIE,MANDY,2
JESSIE,KIT,1
JESSIE,GENE,1
MORTIS,BROCK,6
MORTIS,GROM,3
MORTIS,POCO,3
MORTIS,STU,6
MORTIS,COLT,6
MORTIS,SHADE,3
MORTIS,FANG,18
MORTIS,KENJI,8
MORTIS,MEEPLE,2
MORTIS,PIPER,7
MORTIS,EDGAR,7
MORTIS,DARRYL,5
MORTIS,DYNAMIKE,5
MORTIS,COLETTE,1
MORTIS,MR. P,1
MORTIS,KAZE,1
MORTIS,KIT,4
MORTIS,BONNIE,6
MORTIS,BO,6
MORTIS,DOUG,2
MORTIS,RUFFS,2
MORTIS,MAISIE,3
MORTIS,DRACO,3
